,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,6,1,-0.08995318,0.33198798,0.47859555,0.42866698,0.23865189,0.17443424,-0.17364065,0.2609661,-0.14658244,-0.3304854,0.09586511,0.0841312,-0.10687598,0.14171995,0.03688323,0.27852127,0.024704764,0.20015982,0.09871343,-0.56617814,0.31214488,-0.08555355,-0.13574576,0.04722345,0.23757966,0.21288621,-0.44069564,0.17251599,0.13756935,-0.34082526,0.09825758,-0.18900713,0.10581211,0.29047212,0.42848182,0.21466523,-0.33916295,-0.024909815,0.24111474,0.028776685,-0.43697253,0.27870962,-0.044242777,0.3406262,0.43685722,-0.26935947,0.17497146,-0.12807634,0.064820185,-0.42856672,-0.04584771,-0.0002901256,0.031984083,-0.08809811,0.030105527,0.41164786,0.36542067,0.021397378,0.42716032,-0.27824178,0.2701582,0.15141162,-0.16030335,-0.15092096
1,0,1,-0.13384958,0.15267788,0.12516807,0.1736299,0.3581371,0.07658453,-0.17968237,0.06892389,-0.12242843,-0.40636125,-0.17869206,0.08230325,0.1248203,0.26146206,-0.04833257,0.067729615,-0.08393172,0.06380031,-0.01950618,-0.4032703,0.24357447,-0.16059202,-0.17460202,-0.21462706,0.2170442,0.04391915,-0.33640015,-0.07337314,-0.028972056,-0.38051,-0.10385527,0.0045880354,0.10845015,0.13584715,0.39881957,0.2867644,-0.21007034,-0.061013564,0.12899843,-0.20923689,-0.47440463,0.38157916,0.11485,0.4210534,0.24919061,-0.084636316,0.3063524,0.22141145,-0.17123319,-0.32403508,-0.21136828,0.04130902,-0.18850039,-0.0043365536,-0.43598315,0.07435131,0.24443835,0.113675244,0.5814633,-0.26034242,0.25962818,0.055900034,-0.05713229,0.021842068
2,9,1,0.111736104,0.11247072,0.4264785,0.04943763,0.271139,0.19213301,-0.30163285,0.1303219,-0.18785717,-0.101960115,0.27421027,0.15498888,-0.15796208,0.1383174,-0.052224554,0.19191067,0.042710382,0.1694906,-0.12842913,-0.55949426,-0.11847068,-0.10921797,-0.20464486,-0.13999495,0.24868062,0.13612744,-0.4474448,0.014440024,0.14006865,-0.17984809,-0.06551363,-0.22298798,0.17367575,0.35209805,0.3635618,0.21931554,-0.33447915,0.026998343,0.26909527,-0.08628822,-0.41356894,0.16901512,0.3135529,0.38573635,0.46745992,-0.06906575,0.23210855,0.047396157,0.10667605,-0.32373077,-0.24112,0.07813755,-0.0055320556,-0.235028,0.108704746,0.43013507,0.101249896,-0.064288706,0.594647,-0.06957733,0.17620714,0.060575157,-0.031770136,-0.09349577
3,0,1,-0.1661893,0.2996532,0.3303211,0.13592626,0.3855535,0.15639593,-0.18666603,0.15864031,-0.27307472,-0.3529286,0.16656458,0.03609999,-0.0072680996,0.17205541,-0.028796874,0.18186198,-0.008860833,0.213507,-0.07788214,-0.3601165,0.062033907,-0.09024543,-0.15620133,-0.059040193,-0.06014942,0.07835598,-0.13404533,0.007914825,-0.05068367,-0.122969374,0.16245486,-0.3229817,0.13235848,0.32733962,0.270686,0.22714987,-0.20960163,0.12544496,0.1542456,-0.1362165,-0.30433974,0.28260815,0.25053117,0.28655323,0.53998715,-0.18487601,-0.11323304,-0.074112065,-0.3209328,-0.4281893,-0.17007403,-0.027761128,-0.14703979,-0.1374465,-0.23322873,0.06025996,0.16414435,0.13290676,0.5005987,-0.058911543,0.16385745,0.02961282,-0.023410102,-0.10955228
4,4,1,-0.15802152,0.31773952,0.026822114,-0.39103964,-0.047555134,0.2331705,-0.32257673,0.07650402,-0.2766097,-0.02977585,-0.15102674,0.0026668843,-0.15765382,0.19812316,-0.2781546,0.020925663,-0.114985816,-0.06941266,0.19238055,-0.26675844,-0.07870216,-0.4013927,-0.35271415,0.15242678,-0.200207,-0.26939252,-0.17847244,-0.16311088,-0.1294345,-0.059306785,-0.4737394,-0.13969032,0.029388716,0.28770286,-0.060599465,0.47912124,-0.4902465,0.36436152,0.19420487,-0.15492459,-0.5809924,0.3040683,0.38931394,-0.10043368,0.33950156,-0.4997469,0.20222744,-0.11296904,-0.18592966,-0.1824211,-0.3852576,0.020074017,-0.16745774,0.024698695,-0.33681315,0.10576299,-0.06440293,-0.2544189,0.6027183,-0.19097584,0.2484594,-0.39841592,0.2046261,-0.1233441
5,0,1,-0.17980053,0.2332899,0.25130707,0.09558057,0.2563799,0.23334804,-0.18766738,0.2274626,0.08188612,-0.17126276,-0.100867584,-0.14643405,-0.04803066,0.106071815,-0.19206643,0.016284121,-0.07752255,0.31544176,0.038557056,-0.48302025,0.24919704,-0.2246207,-0.2005532,-0.20661855,0.14990577,-0.1499562,-0.30670455,-0.11367608,0.20263618,-0.21201526,-0.01485567,-0.3484553,0.0042584823,0.0925557,0.35313416,0.14065346,-0.25403693,0.21267733,0.026327865,-0.032041702,-0.50339,0.44730693,-0.085345045,0.17024364,0.4571791,-0.32884172,0.14331266,-0.067044444,-0.15555094,-0.3907372,-0.33828285,-0.14289418,0.08730852,-0.048666134,-0.46052867,0.041345444,0.06930078,0.15100046,0.5346986,0.011039672,0.07060274,-0.016243929,-0.09232456,-0.1944071
6,9,1,0.14969878,0.113469966,0.56354266,0.20350794,0.22579269,0.42742357,-0.43197346,0.30785647,-0.17073235,-0.23847307,0.3882029,0.066475354,-0.37183774,0.17093101,-0.12900212,0.19054669,0.15019219,0.13513656,-0.039003514,-0.6501008,0.04794036,-0.04867252,-0.11498231,-0.39329204,0.31017512,0.31635144,-0.6252562,0.17508602,0.10995096,-0.4214979,0.052625064,-0.3923096,-0.10603194,0.39098817,0.5288126,0.2467528,-0.46790504,0.09484272,0.4506566,0.008394968,-0.25849694,0.055532005,0.21590473,0.4454125,0.58346045,-0.21262293,0.28668782,0.13433366,-0.1051891,-0.43777198,-0.08936068,0.16139837,-0.07689143,-0.12609534,0.16468014,0.4973819,0.21872416,0.03843303,0.6501443,-0.08979468,0.17727025,0.14925267,-0.23262197,0.04544546
7,6,1,0.11288671,0.08526728,0.39638352,0.22948305,0.03191747,0.37876067,-0.26293436,0.35681108,-0.17664894,-0.32319418,0.14361183,0.010465493,-0.13251698,0.12928835,-0.08672855,0.20981508,-0.042885836,0.14086144,-0.070987925,-0.40463454,0.3509298,0.15422791,-0.100955896,-0.11052968,0.2588061,-0.0011076475,-0.5981238,0.30583882,0.007285503,-0.36418304,0.1442419,-0.20067757,-0.025281718,0.16754594,0.5580431,0.1063399,-0.4941387,0.2453529,0.04125633,-0.086526066,-0.47683945,0.14996512,0.13887398,0.065165624,0.42277175,-0.11337475,0.17989966,-0.21029292,-0.094811045,-0.61855936,-0.09664571,0.051498305,0.043544974,-0.022944298,-0.20091046,0.29958642,0.32308248,0.13744408,0.5008872,-0.27466157,0.14053631,0.3237447,0.092554234,-0.035897464
8,4,1,-0.13777511,0.30299562,-0.00015981495,-0.22283877,-0.2370721,0.21396144,-0.26605216,0.0620484,-0.29898793,-0.025992204,-0.07072445,-0.12466769,-0.17794271,0.19596387,-0.1424888,0.03656957,-0.18927471,-0.14788248,0.3662048,-0.34620556,-0.009091702,-0.38534513,-0.1685505,0.17148939,-0.19098988,-0.3304709,-0.18881272,-0.27937287,-0.28010103,-0.008468985,-0.3845835,-0.07835116,-0.022879496,0.333396,-0.064601704,0.49620578,-0.56436795,0.36256826,0.007922804,-0.19317545,-0.62966967,0.389495,0.18926688,-0.15110742,0.1004928,-0.53329664,0.45147756,-0.06183965,-0.2461658,-0.25100622,-0.3844769,0.12269104,-0.12519607,-0.024689015,-0.27981278,0.16714019,-0.0641032,-0.19378369,0.6207604,-0.19540012,0.27968955,-0.36602893,-0.034356,-0.19322665
9,0,1,-0.17980053,0.2332899,0.25130707,0.09558057,0.2563799,0.23334804,-0.18766738,0.2274626,0.08188612,-0.17126276,-0.100867584,-0.14643405,-0.04803066,0.106071815,-0.19206643,0.016284121,-0.07752255,0.31544176,0.038557056,-0.48302025,0.24919704,-0.2246207,-0.2005532,-0.20661855,0.14990577,-0.1499562,-0.30670455,-0.11367608,0.20263618,-0.21201526,-0.01485567,-0.3484553,0.0042584823,0.0925557,0.35313416,0.14065346,-0.25403693,0.21267733,0.026327865,-0.032041702,-0.50339,0.44730693,-0.085345045,0.17024364,0.4571791,-0.32884172,0.14331266,-0.067044444,-0.15555094,-0.3907372,-0.33828285,-0.14289418,0.08730852,-0.048666134,-0.46052867,0.041345444,0.06930078,0.15100046,0.5346986,0.011039672,0.07060274,-0.016243929,-0.09232456,-0.1944071
