,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,39,1,0.18756862,0.17088498,-0.3323092,0.25876123,-0.35395703,0.42174837,0.18157767,-0.786986,-0.18869703,-0.26748684,0.025787182,-0.19639845,-0.08667932,-0.30649492,0.15472628,0.34578025,-0.33617964,0.07795333,0.15582164,0.069035724,0.03713845,0.06694327,-0.06948672,0.108639784,-0.0025391972,0.09982379,-0.023782521,-0.12477379,0.056851793,-0.4873962,0.15438734,-0.28963703
1,0,1,0.007011472,-0.05571572,-0.006793678,0.10184988,-0.20412223,0.3313238,0.19404872,-0.83365154,-0.026360238,-0.44268927,-0.070897415,0.12766959,-0.099298336,-0.048450727,0.14412157,0.41724223,-0.07382744,0.0007047764,0.41046393,0.063312076,-0.15243356,-0.15620114,-0.17106725,-0.13987665,0.07359434,0.22515282,0.025950132,0.12606104,0.16225164,-0.28934485,0.040853556,-0.45566455
2,1,1,0.25962406,-0.071921945,-0.115751825,-0.08226075,-0.25563365,0.18403916,0.11474171,-0.7389858,-0.06943737,-0.28433004,-0.115939416,-0.06140467,-0.19101049,-0.0642509,0.07919199,0.01053919,-0.15081517,-0.08428148,0.22383869,0.22257034,-0.27982357,0.0646874,-0.04765882,0.2433026,-0.13249119,-0.029335853,-0.0869195,-0.073208876,-0.07578463,-0.47550386,0.043069102,-0.09560256
3,39,1,0.11369373,-0.028276458,-0.36206052,0.19368103,-0.19851415,0.32550383,-0.12651804,-0.7051593,-0.20859094,-0.34618878,-0.0532193,-0.15036537,-0.22210485,-0.27121732,0.032135684,0.27524486,-0.2737238,-0.07748025,0.24616328,0.16095148,-0.09149701,-0.14029884,0.059071545,0.07903504,-0.053254407,0.040908728,-0.24408567,-0.06886099,-0.16965836,-0.3860133,0.027469182,-0.43911698
4,34,1,-0.052739814,0.050234452,0.21227708,0.27487123,0.28527606,0.3519529,-0.23110588,-0.8340868,-0.20744786,0.07658703,-0.28960034,0.18023364,-0.3798049,0.23948534,0.045725044,0.056538988,0.29160878,-0.09654606,0.22926356,-0.007051975,-0.4935138,0.12192455,0.04321693,0.062314253,-0.29933777,-0.24782854,-0.19324031,0.04625616,0.38566765,-0.03726927,-0.13667722,-0.29930514
5,21,1,0.094220646,-0.06580497,-0.16856332,-0.057195712,0.03629619,0.24039203,0.104800954,-0.76310664,-0.31873968,-0.23180561,-0.2959553,-0.02589295,-0.403151,-0.16540876,-0.18058242,0.19138573,-0.07466863,-0.11664005,0.28008005,0.17241916,-0.16078496,-0.18165152,-0.012383517,0.13656008,0.044751745,0.13398407,-0.0360734,0.013499259,0.077678174,-0.25213704,-0.11653822,-0.5877455
6,18,1,0.42671797,-0.08453305,-0.31968862,0.17734368,-0.20401569,0.36256716,0.004712173,-0.75666296,-0.20486888,-0.29015616,-0.16369204,-0.20392825,-0.33934134,-0.22308469,0.19343144,0.12342863,-0.38901934,-0.013719346,0.13999152,0.2222881,-0.24444358,0.07477026,-0.029606672,0.18329057,-0.20991467,-0.032685027,-0.02560863,-0.023871245,-0.030696379,-0.6668545,0.010230762,-0.03415193
7,45,1,-0.0051604053,-0.017820721,-0.38167265,0.09696184,-0.4166915,0.44907913,0.049888443,-0.82376534,-0.41075256,-0.17305999,0.2645761,-0.20062923,-0.28197277,-0.30032578,0.24081206,0.045212835,-0.46550524,0.020240687,0.2034239,0.048863783,-0.0017633904,0.13774993,0.09631696,-0.03443164,0.043682117,-0.069558814,-0.22490856,-0.1778189,0.04438281,-0.64590496,-0.13538812,-0.3194464
8,34,1,-0.027322834,-0.022475794,0.20362337,0.1882922,0.27493125,0.42357564,-0.15378848,-0.8629903,-0.31188244,0.084373035,-0.18841986,0.24617448,-0.33320665,0.19008404,0.021042578,-0.03880597,0.2350834,-0.13250344,0.24306032,0.0075059417,-0.48423594,0.20849577,0.10669251,0.061832745,-0.28856966,-0.22449726,-0.06515341,0.038920682,0.3406756,-0.067602195,-0.077468745,-0.21091123
9,21,1,0.094220646,-0.06580497,-0.16856332,-0.057195712,0.03629619,0.24039203,0.104800954,-0.76310664,-0.31873968,-0.23180561,-0.2959553,-0.02589295,-0.403151,-0.16540876,-0.18058242,0.19138573,-0.07466863,-0.11664005,0.28008005,0.17241916,-0.16078496,-0.18165152,-0.012383517,0.13656008,0.044751745,0.13398407,-0.0360734,0.013499259,0.077678174,-0.25213704,-0.11653822,-0.5877455
10,28,1,0.20036176,-0.059000164,-0.34877765,-0.095665164,-0.31004646,0.21693598,-0.10661991,-0.67262846,-0.26606122,-0.21714745,-0.11784553,0.03151707,-0.3321885,-0.10512936,-0.0372944,0.07922969,-0.29698804,-0.042141296,0.09886247,0.10955202,-0.25928548,-0.016892912,0.04622857,0.2974163,-0.33656135,-0.029360125,-0.036367565,-0.024181793,0.013259165,-0.44731724,0.014761855,-0.19794008
