,sentence
0,We use certain terms in the mortgage deed and in these general terms and conditions.
1,Here we explain what we mean by it.
2,"Obvion: Obvion N.V., the lender that provides the funds for your mortgage loan and the legal successors of Obvion N.V. Borrower, you: The person or persons who take out the mortgage loan and to whom Obvion has an or has several claims."
3,"In these terms and conditions, “you” always refers to the borrower."
4,Is that more people?
5,By this we also mean: - each person separately; and all persons together.
6,Mortgage lender: The person or persons who give or have given security to Obvion for the debt the mortgage loan.
7,This security can be a right of mortgage or a right of pledge to be.
8,Is it more people?
9,By this we also mean: - each person separately; and all persons together.
10,"Third-party lender: Someone other than the borrower, who has granted a right of mortgage on his collateral to Obvion."
11,This gives Obvion extra security for the payment of everything that Obvion the borrower has to claim.
12,Mortgage holder: obvion.
13,The mortgagor grants to Obvion and its legal successors mortgage and liens.
14,"Right of mortgage: As security that you will repay the loan to Obvion, the mortgagor indicates: Obvion the right of mortgage on a collateral."
15,"This means, among other things: Obvion is allowed to do it sell collateral if you fail to meet your obligations."
16,mortgage deed: The notarial deed in which the mortgagor grants Obvion Mortgage and pledges on the provides collateral.
17,Mortgage type: The type of loan.
18,"Obvion has the Obvion Residential Mortgage, the Obvion Mortgage, the Obvion Basic Mortgage and the Obvion Compact Mortgage."
19,Mortgage type: The way in which you repay the loan or the loan component to Obvion.
20,For example the annuity mortgage.
21,The total amount that Obvion lends or has lent to you.
22,Deed of loan:
23,The documents in which the loan is recorded.
24,"Such as the binding offer, the mortgage deed and these General Terms and Conditions."
25,"Pledge: As security that you will repay the loan to Obvion, you give Obvion a right of pledge."
26,"For example on insurance, (bank) savings accounts or other matters."
27,The right of pledge holds that Obvion may collect or sell the pledged property if you fail to meet your obligations.
28,Registered property: A property that by law must be registered in a register.
29,"For example, an house, which is registered in the Land Registry."
30,By registering everyone can see whose house.
31,"And whether, for example, there is a right of mortgage."
32,The registered property or the registered property to which the right of mortgage has been granted to Obvion and the goods pledged to Obvion.
33,"Original Principal Amount: Total debt when entering into the loan, excluding bridging loan."
34,"The amount needed to buy your home, in the same place, with the same size and the same destination, rebuild."
35,"Rebuild value is only given for houses, not for apartments."
36,The loan consists of one or more loan parts.
37,These are named in the binding offer.
38,Separate conditions may apply for each loan component.
39,The portion of the loan that has not yet been repaid.
40,"Fixed interest period: A period agreed with you during which Obvion will not pay the interest applicable to a loan component change on the condition that the rate group, mortgage type and/or mortgage type are not modify."
41,"Rate group: The rate group depends on, among other things, the ratio between the mortgage debt and the market value of the collateral."
42,"Based on the rate group, the amount of the individual tariff surcharge is determined."
43,Do you have loan components for which the fixed-rate period commenced before 24 April 2017?
44,"Then applies for these loan components until the end of the fixed-rate period, the ratio between the mortgage debt and the foreclosure value* of the home."
45,"For appraisals with a value reference date from 1 January 2013, Obvion uses the execution value 90% of the appraised market value."
46,"Debt Remaining: Your outstanding debt that has not yet been repaid, excluding bridging loan."
47,"The natural or legal person who, in the exercise of a profession or business, mediates."
48,Additional refund: An additional repayment is a full or partial repayment of your loan.
49,You are not obliged to do so on the basis of the agreed repayment obligations associated with your mortgage type.
50,Compensation: The interest difference that you may owe to Obvion when you change the want to implement loan conditions or make additional repayments.
51,Reimbursement is sometimes also called called a fine.
52,The mortgagor is obliged: 1.
53,the collateral:  to keep in good condition.
54,Take all measures in time for this.
55,to carry out work or have it carried out that is necessary for this; to have it (re)valued at its own expense if Obvion deems it necessary.
56,Always give Obvion or its authorized representative for inspection and (re)valuation free access to the collateral.
57,Obvion can oblige the borrower and the mortgagor to repay an additional amount pay or provide additional security if this is the case after inspection and/or (re)valuation in accordance with Obvion is desirable.
58,The extra security can also consist of converting a mortgage type.
59,"Pay on time all insurance premiums, fees, charges and taxes that are due in respect of the collateral."
60,And at Obvion's request the to show evidence.
61,Isn't paid on time?
62,Then Obvion may make these payments at its expense of the mortgagor on his behalf or for him.
63,the collateral and everything that goes with it to the satisfaction of Obvion to rebuild value to insure and keep insured.
64,This insurance must be taken out with a solid non-life insurer approved by law in the Netherlands with a good reputation.
65,"The insurance must cover the risks of fire and storm damage, explosion, lightning strike, aircraft damage and other risks for which insurance is customary."
66,"In the mortgage deed, a right of mortgage on an apartment right, such as referred to in Section 5:106 of the Dutch Civil Code."
67,The mortgagor is in that case not obliged to take out insurance if the association of apartment owners has taken out such insurance.
68,insurance policies and proofs of payment of the insurance premiums after request from Obvion to Obvion within fourteen days.
69,"If it turns out that it collateral is not insured to the satisfaction of Obvion, Obvion has the right to PCAV134_2103 collateral to be insured and insured at the expense of the borrower or the mortgagor against the risks referred to under 4 of this article."
70,"at the request of Obvion, to provide all information, data and documents that Obvion finds it necessary to exercise its right(s) of mortgage."
71,"immediately after damage to the collateral has occurred, to provide Obvion with all information about: a. the insurer that is obliged to pay out; and/or b. the person or persons who caused the damage."
72," Only after written permission from Obvion may the borrower or mortgagor in the event of damage, accept an offer of payment or compensation from an insurer or another (legal) person."
73,Obvion may determine that benefits from an insurance in a deposit to be pledged to Obvion.
74,From this depot the rebuilding of the collateral to be paid.
75,"Immediately inform Obvion about:  a. bankruptcy of the borrower and/or the mortgagor, or the application or declaration thereof; b. declaration of application or application for a moratorium or a debt rescheduling  arrangement on or by the borrower and/or the mortgagor;  c. declaration of application or application of another (foreign) insolvency arrangement  on or by the borrower and/or mortgagor;  d. transfer, expropriation, claim or forfeiture of the collateral; e. termination or threatened termination of any insurance in respect of the  collateral;  f. damage to the collateral that can lead to a decrease in the value of the home; g. any other circumstance that:  can lead to a (forced) sale of the collateral; may decrease the value of the collateral; may be of importance to Obvion in connection with its right of mortgage."
76,The mortgagor may not use the collateral (or have it used) in violation of laws and regulations  regulations.
77,The mortgagor is also not allowed to do or omit to do or omit anything in the collateral that contravenes laws and regulations.
78,"Without Obvion's prior written consent, the mortgagor may NOT:  a. rent, lease or in any other way hand over the collateral for use, or  its use by others."
79,The mortgagor may not make advance payment of stipulate or accept rent or lease payments.
80,"The mortgagor may also have the right to not to alienate, pledge or otherwise encumber rent or lease payments."
81,"b. the joint ownership of a thing that is intended for the benefit of the collateral (a  so-called joint business), transfer to the other co-owner or co-owner owners of the joint business."
82, c. encumber the collateral with limited rights other than under the mortgage deed.
83,The mortgagor may also not enter into an agreement with regard to the collateral to tolerate or not to do something.
84, d. change the ground lease (conditions).
85,"e. change the layout, shape or purpose of the collateral."
86,f. dispose of the collateral.
87,"Including contribution to a legal person,  general partnership, partnership or any other joint venture."
88,g. enter into a hire-purchase agreement with regard to the collateral.
