,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,1,0.023478007,0.15606476,0.28406516,0.1403341,-0.2427518,-0.122063294,0.24096233,0.2473498,0.29779658,0.014514928,-0.20882256,0.0454558,-0.13095132,0.38234296,-0.12051815,0.0023065913,0.10176198,0.6021121,0.2591702,0.15244308,-0.13151073,-0.1331194,-0.17624776,0.17520137,0.16801918,-0.07546418,-0.25245634,0.44763535,-0.1810571,-0.07604449,-0.09412696,0.12459497,-0.5025419,0.3673603,-0.1457929,0.12028344,-0.28895894,0.21679577,-0.032031756,0.33253226,0.0684809,0.18628378,-0.039260283,0.25288826,-0.18275033,0.10908995,0.26591444,0.08241792,0.07987532,-0.10411879,0.11764384,-0.09402265,-0.15885547,0.27575818,0.08978705,0.120377935,0.3134945,0.11660873,-0.37538946,0.13470833,-0.60019195,0.19873893,-0.14948615,-0.24040844,-0.09977868,-0.46297258,-0.14942442,-0.038817756,-0.080665864,0.28040847,0.12810229,-0.053416826,-0.18955371,-0.36946017,0.2688207,-0.3512428,-0.06498159,-0.09695147,-0.13230966,-0.13033633,-0.11982442,-0.306382,-0.06845152,0.42005974,0.006009119,-0.5306843,0.029210243,-0.3834596,0.49499026,-0.11624019,-0.06988917,0.038491428,-0.112970315,0.2436113,0.23439828,-0.13306098,-0.09243821,0.1546957,-0.00025929324,0.22544476,-0.07451346,-0.41531911,0.09061171,-0.34585494,0.27575323,-0.13716184,0.08112257,-0.22374663,-0.47668767,-0.027824441,-0.13774873,0.043377943,-0.13890244,0.3548256,0.02762094,-0.1198418,-0.2246049,-0.11012933,0.34173268,-0.44732928,0.06698456,-0.40995485,0.1515143,-0.1814332,-0.10831534,-0.2242283,0.014516541,0.22429802,-0.16045994,0.15667541,0.40638843,0.022628292,-0.029007662,-0.07442666,0.20961727,-0.08234515,-0.24740951,0.3752874,0.29993388,0.2895873,0.5111738,0.132836,0.2602283,0.02345294,-0.2020296,-0.12852202,0.35547906,0.15726228,0.08568737,-0.085463636,0.12602666,-0.13380283,0.20099315,-0.2583572,0.07650993,0.32158333,-0.09498981,0.21025334,-0.04207447,0.11700488,-0.030638402,-0.020514248,-0.24166715,0.2423114,0.57740355,0.16869824,-0.100428864,0.10045611,-0.17723116,-0.010227126,0.39302278,0.4252265,-0.18017377,0.29254535,-0.081287384,-0.08704961,0.40363264,-0.021271987,0.16244203,0.41598728,0.005553829,-0.1720307,0.1448827,0.15363507,-0.21861614,0.06743361,-0.12669642,0.1857916,-0.09890113,-0.14969403,-0.20335932,0.13080417,0.063971125,-0.14982563,0.102300406,-0.02331115,0.45192176,-0.1643331,0.20910047,0.014375457
1,1,0.09140077,0.15768003,0.30525705,0.09041892,-0.05415234,0.19491558,0.1243484,0.35961208,0.40684727,0.04327733,-0.26531363,-0.14128827,-0.09639929,0.407334,-0.09120259,-0.063663244,-0.015168506,0.46172717,-0.013549846,0.2101341,-0.19486965,-0.019109806,-0.074170105,0.42681414,0.20018168,-0.045738325,0.00029945374,0.20730464,-0.17881866,0.19785276,-0.34611246,-0.015811348,-0.04797238,0.08026206,-0.033315692,0.115680434,-0.46695873,0.26079142,0.18863815,0.40288007,0.14285697,0.18638584,0.021498805,0.3085315,-0.0022864265,-0.028159063,0.2755466,-0.011363025,0.1310403,0.07530998,0.09851715,-0.19550437,-0.063804775,0.3327933,-0.051736,0.3430926,0.23818249,-0.098670825,-0.28701824,0.1117367,-0.2835321,-0.043647315,-0.4624358,-0.06174653,-0.054457422,-0.21055453,-0.09088361,0.07113325,-0.13674596,0.18474793,0.2742112,-0.28003463,-0.16682214,-0.328412,0.25615734,-0.2760466,-0.12778144,-0.1555902,-0.01575334,-0.11431733,-0.28380173,-0.14525248,-0.05216732,0.16318668,0.116347276,-0.19182552,-0.044575274,-0.38810042,0.1326712,0.06616893,-0.08274712,-0.1510928,-0.37462467,-0.007829539,0.26355538,-0.26310351,-0.09621417,0.20850337,-0.07039241,0.1468228,-0.19139591,-0.34233272,-0.08973165,-0.10905408,0.06875847,-0.16330934,0.063670576,-0.14101228,-0.38440096,0.09241274,0.074582286,0.20319733,0.12549268,0.2783144,0.105434656,-0.14654708,-0.13119164,-0.012485303,0.16252635,-0.41638348,0.11648069,-0.13519654,0.10967711,0.15245508,0.19674526,-0.056326635,0.009907123,0.21138906,-0.0063915956,0.011479008,0.47009686,0.014282908,-0.2012616,-0.16658539,0.13281333,-0.24300972,-0.15117237,0.36202756,0.22835182,0.22487755,0.22736832,-0.20411542,0.13706154,0.036741853,0.2242251,-0.030674178,0.3357916,0.05320192,0.14605953,-0.12114265,-0.048051234,-0.17975378,0.31055632,0.037870113,0.18795145,0.30774942,0.07887572,0.20694543,-0.059662845,-0.025885155,-0.11199365,0.14141056,-0.3432561,0.26271534,0.4106643,0.12643674,-0.033916686,0.06144675,-0.022230104,-0.020462781,0.24647234,0.44550896,-0.19465776,0.09649176,0.10802506,0.03869463,0.23030685,-0.17440143,0.058371995,0.3658366,0.17532438,-0.09310198,0.058283992,-0.079989605,0.05864275,0.16288447,-0.099417575,0.031037595,-0.06520902,0.087561935,0.109490424,0.21217802,-0.07719283,-0.19511789,0.11037161,-0.010591588,0.41027758,-0.007354328,0.3446795,-0.07514089
2,1,0.058614314,0.2627932,0.27652416,0.06492194,-0.0665002,-0.14569324,0.08969374,0.15309712,0.21761744,0.16995195,-0.010906458,0.12937409,-0.1537203,0.25124967,-0.1605205,0.07381659,-0.03274206,0.6073974,0.1603326,0.019486628,0.009080298,-0.22778621,-0.09804506,0.106677525,0.26731384,0.024888434,-0.30091333,0.4214804,-0.28321975,0.05006263,-0.03150566,-0.059425335,-0.34985393,0.34054172,-0.069071874,0.16255602,-0.25160617,0.23151997,0.119804986,0.08071363,0.10967088,0.12810662,-0.056991126,0.28738007,0.03557853,-0.07941405,0.11490755,0.0974175,-0.017224422,-0.05922536,0.18454969,0.016383018,-0.20121498,0.0539416,0.24030323,0.0053752963,0.2650604,-0.038561348,-0.415277,0.20095107,-0.4814653,-0.058581337,-0.11980642,-0.20398062,-0.044415012,-0.46490842,-0.29463997,-0.21796119,0.10519899,0.12324302,-0.023334617,-0.05743221,-0.22753365,-0.22408924,0.085875474,-0.13519895,-0.049210656,-0.024607202,-0.24501531,-0.012801089,0.005583783,-0.30296496,0.028462853,0.16947101,-0.03436346,-0.2731206,0.12303999,-0.4188165,0.4710174,0.052364018,-0.24931002,-0.014258826,-0.09458824,0.22027801,0.21475971,-0.066469684,-0.037279807,0.03414032,0.05914378,0.22186811,-0.0863428,-0.21089599,0.3188922,-0.3787326,0.2767576,-0.038012367,0.022911077,-0.0065130563,-0.44003752,0.12523931,-0.1445854,-0.028302034,-0.18082096,0.0918834,0.02971738,-0.22166947,-0.32062402,0.06558304,0.3056434,-0.46925157,0.12302868,-0.35417798,0.17939575,-0.07399755,0.052445173,0.028376289,0.21692535,-0.04329539,-0.16747786,0.024413621,0.37744004,-0.009745491,-0.12810582,-0.36101875,-0.008985385,-0.32115653,-0.22011691,0.26758674,0.23783499,0.07324073,0.406421,-0.046557456,0.14117543,-0.050338235,-0.30708322,-0.20860986,0.058788896,0.10797108,0.032088824,0.053002626,0.1165326,-0.15408765,0.4694781,-0.36348516,-0.017990516,0.21524791,-0.18731314,0.13209426,0.014353461,0.16889952,-0.2669667,0.022528054,-0.21712093,0.20560569,0.5215525,0.13829605,-0.1858606,0.27089188,-0.08770282,0.100590415,0.38717785,0.37477672,-0.34950247,0.4267791,-0.14174807,0.07475906,0.4407099,-0.011876771,0.18664926,0.20411879,-0.13468963,-0.32529917,-0.191246,0.09516236,-0.24742855,-0.19618355,-0.12537071,0.09864184,0.05716682,0.027485384,-0.11460866,-0.10333668,0.11137254,0.03737723,0.24123445,-0.18505576,0.37461597,-0.1474511,0.22571158,-0.109751485
3,1,0.0010569018,0.26944518,0.27543613,0.08956546,-0.10419335,-0.020304125,0.08496418,0.15929654,0.24296589,0.052772313,-0.19572337,-0.05692662,-0.21040623,0.3968145,-0.1612549,-0.082295895,0.07617299,0.4841734,0.065244816,0.13498245,-0.035989378,-0.27743423,-0.2604063,0.17518124,0.20547467,-0.081036255,-0.26102886,0.29110295,-0.18535666,0.07854204,-0.21755694,-0.02612004,-0.27819824,0.14569396,-0.032284793,0.123711534,-0.30475724,0.27792045,0.30055323,0.31040317,0.25709918,0.13028407,-0.033797838,0.35992983,0.005967103,0.11017918,0.08192278,-0.0771293,0.028595554,0.022211887,0.15804884,-0.06702938,-0.3049519,0.18391927,0.09953188,0.17321807,0.17966665,0.046312347,-0.41306937,0.25119945,-0.33716062,0.034756593,-0.14614035,-0.1402315,-0.055265754,-0.27070805,-0.14598435,0.010462927,-0.104912214,0.26725763,0.21358609,0.028615339,-0.24891412,-0.36271855,0.16007806,-0.2383379,0.114380755,-0.22898234,-0.18585502,0.010384775,-0.075616084,-0.18555579,0.0183238,0.33466813,-0.075637855,-0.22148766,0.034730736,-0.30808395,0.31372163,0.030140901,-0.07373288,-0.008030153,-0.080727346,0.20999578,0.13967031,-0.21276908,-0.1252516,0.10402353,-0.051878236,0.046650432,-0.09525045,-0.26984796,0.008990244,-0.14873807,0.3157963,-0.18901113,-0.0035210853,-0.10835301,-0.50340724,0.12485016,0.04969686,0.18095395,-0.15090126,0.35053155,-0.0790731,-0.105118066,-0.16861525,0.10289833,0.29173386,-0.40498316,0.06965147,-0.29715112,0.015638864,-0.17645004,0.009126043,-0.08102476,0.18832508,0.16238047,-0.09842872,0.119975254,0.28284776,0.13681199,-0.19211507,-0.25783554,0.13273332,0.029061073,-0.06946983,0.3404962,0.32492155,0.24545489,0.2997409,-0.04239628,0.018897153,0.048006583,-0.14294367,-0.11507214,0.16177304,0.07261139,0.14485644,-0.067880094,-0.07848123,-0.15667404,0.29837993,-0.1463735,0.080463886,0.16103522,-0.106579214,0.08987969,-0.013545552,0.15763132,0.021253262,0.20417784,-0.12531514,0.1344447,0.5485048,0.10925966,-0.109551355,0.09141374,-0.17948262,-0.0043029706,0.32166737,0.3429627,-0.21497253,0.35243168,0.07949608,-0.030679177,0.34915507,-0.022709094,0.08967532,0.28315568,-0.028828617,-0.11829768,0.11552212,0.096446685,-0.13741963,0.0061532375,-0.17389329,0.18713151,-0.034102667,-0.10100137,0.010936815,0.24339756,0.033272147,-0.16944312,0.08865427,0.0011821272,0.42655522,-0.17395699,0.22756566,0.029463047
4,1,-0.03303927,0.068297885,0.22856547,0.155198,0.049353145,-0.27724648,0.07780469,0.26292232,0.37249058,0.35031006,-0.085306644,-0.055879064,0.029503379,0.36442083,-0.28549585,-0.030626602,0.21429424,0.49839166,0.02143556,0.39860153,-0.1624269,-0.11379788,0.06222514,0.08194541,-0.18650174,-0.10291414,-0.088513196,0.1689664,-0.26273808,0.12745473,0.13164729,-0.17221487,0.2215446,-0.20593522,-0.05072143,0.17919771,-0.61402756,0.3524084,0.16455224,0.19986282,0.0049551395,0.055945743,0.24761602,0.25099143,0.105668195,0.17991796,-0.028607465,0.20743741,-0.0372431,-0.17598978,0.19468465,0.27458158,-0.3609855,-0.24592723,-0.1517432,0.1825661,0.21108176,-0.158447,-0.4468562,0.27519518,-0.32112128,-0.28977197,-0.08895482,0.16354339,-0.20967479,0.007620455,0.30439094,-0.24408917,-0.025910001,-0.087705314,0.3786239,-0.40133083,0.006388257,-0.3949519,-0.17251359,-0.4939828,0.020323658,-0.01968336,-0.0473282,-0.0642122,-0.3612432,-0.09061339,0.18283549,0.3122984,-0.13384777,-0.3195173,-0.09401762,-0.13795905,0.14694832,0.038368907,-0.010738284,0.025650362,-0.3883417,0.24776378,0.385499,-0.2126926,-0.15301502,0.018242212,-0.12386236,0.043325875,0.09830096,-0.38949633,0.32012582,0.32963297,0.3563016,0.008844322,0.23890027,-0.09408093,-0.17928801,0.034258008,0.27460027,0.3278597,0.15761998,0.19616503,0.09719137,-0.17551008,-0.20562445,-0.07603033,-0.015600548,-0.16550289,0.50335073,-0.45497373,0.1601348,0.09639171,0.3182062,0.03372474,0.19620572,-0.25170162,0.08080124,-0.070749715,0.0020993694,-0.1529163,0.07065443,-0.3593923,-0.42004442,-0.38511616,-0.15222515,0.44380507,0.2577034,0.18656364,0.33071578,-0.12372745,0.119537696,0.036372107,-0.037197914,-0.12935658,0.40533635,0.0792862,0.22574429,0.08442472,-0.045385133,-0.33862197,0.6627516,-0.11989956,0.31168485,0.122258216,0.0035660563,0.17079261,-0.08001003,0.24992049,-0.052583903,0.05129446,-0.31597218,0.36623797,0.17960857,0.19758512,-0.09533069,-0.058027875,0.37886304,-0.22389852,0.26288688,0.46332645,-0.38207933,0.13807727,-0.1492802,0.015595244,0.46918693,-0.28521028,-0.29619175,-0.025935123,0.24822628,0.014788354,0.3512728,-0.19241065,-0.21117136,-0.47487617,-0.12893447,0.2345735,-0.12306071,-0.033113774,0.27583602,0.23510621,-0.07315824,0.06498633,0.20127869,-0.058844443,0.43709496,-0.070183635,0.3844267,-0.13952906
5,1,-0.23398,0.2526725,0.19672784,0.056224898,-0.21206002,-0.00027449336,0.17266618,0.24065618,0.34450084,0.13161668,-0.05440367,0.05533389,-0.04922699,0.5248068,-0.089871384,-0.09574707,0.022524085,0.4474193,0.15597595,0.18209891,-0.2642892,-0.22854705,-0.20790197,0.41992283,0.123793796,-0.048158392,-0.1898081,0.09327065,-0.16942164,0.25416255,-0.37464073,0.12658592,-0.13279605,0.26913807,-0.012524498,0.074161746,-0.22188781,0.27335393,0.1537825,0.31529662,0.0394941,0.022151846,0.03672132,0.4061762,0.15253638,0.21010605,0.22836557,-0.00927609,-0.05714506,0.024349956,0.113445066,0.054858938,-0.26015043,0.0016831516,-0.0068869693,0.075826734,0.2494252,-0.081775375,-0.27609998,0.040348463,-0.14507978,0.039235394,-0.13059546,-0.039830487,-0.048325397,-0.30837435,-0.14496027,-0.068149045,-0.18415885,-0.06029538,0.41106746,-0.19536406,-0.09473545,-0.240155,0.034138806,-0.18609785,0.21276867,-0.21467976,-0.008330584,-0.10480845,-0.019172108,-0.221346,0.04899326,0.39635012,0.1689881,-0.11374456,0.017466027,-0.18374309,0.31250414,0.09347034,-0.12678832,-0.002097462,-0.2982629,0.08131792,0.35151526,0.15107922,-0.13413465,0.034338456,-0.26241302,-0.089433245,-0.15478925,-0.25728574,0.10803793,-0.17585872,-0.14223808,-0.023776397,0.22998793,-0.051216215,-0.5389186,0.26869902,-0.04099976,0.18297747,-0.25753686,0.21639805,-0.11409619,-0.14060117,-0.15950246,-0.009968196,0.2626465,-0.4705818,0.24468955,-0.08044212,0.16451263,-0.07157209,0.08040585,-0.0016061165,-0.1516625,0.2409561,-0.02837235,0.06441689,0.4510302,-0.112259954,0.015376802,-0.329009,-0.09791448,-0.15092617,0.09103291,0.5298627,0.09624658,0.27635953,0.13588575,-0.11184848,0.1300236,0.2766857,-0.08915225,-0.14986679,0.24588895,-0.117494956,0.20444685,-0.075275026,-0.11900907,-0.34721735,0.356675,-0.11190151,0.12550414,0.20262337,-0.15558548,0.14538708,-0.12867118,0.3059181,0.09253771,0.05907578,-0.34157017,0.20025864,0.5230344,0.24309294,-0.02454843,0.1336048,-0.024643382,0.123279326,0.3514814,0.2730869,-0.12592943,0.28828442,0.11203204,0.0681451,0.2672805,-0.10193871,-0.054403525,0.37577686,0.055530943,-0.09675582,0.23806082,0.12642647,-0.07708993,0.05823424,-0.12004062,0.11510683,-0.29301998,-0.00818548,0.052769564,0.27929682,-0.17745963,-0.12303928,0.18350072,0.13252956,0.46855754,-0.013406159,0.41248158,0.047106437
6,1,0.111060336,0.34347567,0.30421415,0.13664858,-0.23218797,-0.25801197,0.25174585,0.2569166,0.22774193,0.13098942,0.012245688,0.19596039,-0.24108835,0.23779313,-0.07670552,0.032264557,-0.06050695,0.60283583,0.09197312,0.253622,0.04232354,-0.2500114,-0.10069819,0.06166104,0.22226387,-0.0031575456,-0.31956148,0.60372233,-0.24653238,0.029306604,0.15664852,-0.030309057,-0.41910192,0.36364606,0.0008537618,0.15068609,-0.18904299,0.11368612,0.11841497,0.0931543,0.11615808,0.20272747,-0.16433358,0.24933928,0.028531788,0.1746922,0.17893709,0.08501198,0.059523184,-0.030283624,0.2565176,0.09639342,-0.25538707,0.11965907,0.16972484,-0.080620944,0.35328498,0.058348842,-0.4593135,0.22257191,-0.44257516,-0.07966143,-0.044951063,-0.2600943,-0.11475355,-0.5054228,-0.41037324,-0.28272218,0.15648466,0.10451679,-0.09604726,-0.14712436,-0.1638614,-0.2543669,0.09655812,-0.1612908,-0.006998611,-0.13118099,-0.20868988,-0.017895695,-0.091593325,-0.30123156,0.13863258,0.24662715,-0.09415831,-0.3705708,-0.0024400845,-0.411726,0.50578374,-0.05140566,-0.21038546,0.096186206,-0.120759696,0.29619744,0.25653493,-0.044985924,-0.030227875,0.07250269,-0.021232162,0.22521107,-0.04427213,-0.32949302,0.30387467,-0.49492648,0.19890592,-0.10025093,0.0642658,-0.0026144325,-0.5423546,0.09412468,-0.19715568,0.015960027,-0.11406196,0.026165033,0.0958959,-0.29050583,-0.4115851,0.02472744,0.39202288,-0.5505725,0.111582756,-0.38860035,0.23265775,-0.35190988,-0.03885949,-0.13751517,0.27996075,-0.09286257,-0.16249561,0.071505904,0.5026269,0.09330312,-0.044535015,-0.28986526,-0.075910255,-0.23040304,-0.31268188,0.2622824,0.2867507,0.09764699,0.37475607,-0.11929787,0.22593284,-0.11164173,-0.43891138,-0.21380186,0.05753975,0.1514048,0.041670006,-0.107661165,-0.11007277,-0.12112064,0.26721162,-0.42828077,-0.034770824,0.24028105,-0.13761589,0.17735326,-0.089283295,0.16709736,-0.1965737,0.101142675,-0.34980926,0.28673837,0.55282897,0.2165011,-0.15985149,0.28716913,-0.05752448,0.085745975,0.44815546,0.23112842,-0.26625073,0.4659627,-0.2335069,-0.06952237,0.36062863,0.016468434,0.30667183,0.104168616,-0.08731969,-0.23474379,-0.2613638,0.19049989,-0.3997943,-0.08925984,-0.038007867,0.069973715,0.05467729,6.508827e-05,-0.18397325,-0.09536524,-0.007251076,0.0316458,0.277623,-0.110568754,0.34574437,-0.04020899,0.23257045,0.018091716
7,1,0.014555231,0.3154524,0.34044722,0.01713969,-0.44437987,-0.26127017,0.40616953,0.22904044,0.34985825,0.17781843,-0.019567864,-0.047085073,-0.06378792,0.33938497,0.14521748,0.035776798,-0.10118718,0.43460473,0.047449946,0.32366216,-0.026089076,-0.17378654,-0.16150159,0.23899059,0.12487304,-0.21971361,-0.25731012,0.5178724,-0.10001049,-0.082889564,0.07143544,0.024121819,-0.43670875,0.31347856,0.08137959,0.1389917,-0.20824297,0.12601174,0.094350666,0.17269327,0.15994318,0.24003308,-0.23670278,0.23478657,0.018910032,0.1663061,0.28795937,0.0044056135,-0.0004156306,0.07239609,0.27473477,0.109079525,-0.114999235,0.25530833,0.126262,0.18318178,0.35608506,0.10167579,-0.51107097,0.2735964,-0.4447077,-0.012212727,-0.149983,-0.31027892,-0.015324026,-0.4566769,-0.29337975,-0.1347741,0.20253707,0.062479917,0.19501011,-0.163187,-0.2403211,-0.37225613,0.14477542,-0.29944295,-0.14743192,-0.30696562,-0.07192971,-0.19307064,0.07895769,-0.37690002,0.116381526,0.21707687,-0.007576306,-0.39980397,-0.0009609309,-0.31656206,0.4781388,-0.034699645,-0.13370712,0.087847926,-0.17300439,0.18732803,0.24874711,0.04581306,0.11859745,-0.020329908,-0.0013020032,0.25907832,0.02013724,-0.30534193,-0.007617915,-0.43336296,0.014593861,-0.09779234,0.20480646,-0.4107192,-0.44034618,0.13520952,-0.29571408,-0.08797131,-0.059507288,0.33661816,0.09516212,-0.14462602,-0.43895632,-0.1094332,0.2685985,-0.43162477,0.22789265,-0.45071808,0.07010002,-0.2296014,-0.047863845,0.0027703573,0.07392248,0.16072954,-0.26974535,0.12364176,0.6152313,0.22788505,-0.16966523,-0.019202502,0.15664499,-0.11373621,-0.24908632,0.4029445,0.4995759,0.24096927,0.3905236,-0.27703083,0.37486032,0.04319531,-0.27371854,-0.21314596,0.2249307,0.1567966,-0.010112075,-0.22598067,-0.15390839,-0.15100858,0.04992523,-0.40023226,0.15294038,0.20532712,0.05963934,0.06779108,-0.114913106,0.24958318,0.07671002,0.14145042,-0.39786765,0.26298591,0.42411938,0.23733354,0.06316734,0.16410184,0.0045022885,0.022711812,0.6338246,0.43230617,-0.07970057,0.40819338,-0.17139348,-0.29433098,0.44777948,-0.06210238,0.3308623,0.18137224,-0.15157738,-0.2820627,0.012522445,0.3418234,-0.34383246,0.030653957,-0.07429866,0.13040529,0.20655222,-0.17718643,-0.13004468,0.21178973,-0.00050099933,-0.24837168,0.13730977,0.09828742,0.26569083,-0.07644872,0.25400817,0.10290011
8,1,-0.04285573,0.0920739,0.26130527,0.17615677,-0.14646055,-0.2903698,0.06094683,0.26318052,0.45345977,0.4340812,-0.05077448,-0.07933053,0.111892395,0.4155728,-0.24509193,-0.001471131,0.10052963,0.49685633,-0.024226384,0.39747915,-0.21280497,-0.13204473,0.089247905,0.16182007,-0.22741571,-0.12626128,-0.15597975,0.20837508,-0.17540202,0.08701265,0.16851015,-0.24027981,0.18898709,-0.31857255,-0.016560873,0.1666654,-0.57951754,0.33726072,0.20215619,0.23645495,-0.0066350917,0.063882455,0.21368359,0.17893578,0.14561762,0.15235037,-0.014343042,0.31331733,-0.003394341,-0.13626102,0.15293424,0.31101012,-0.36163157,-0.18353218,-0.1775478,0.21350096,0.15634698,-0.11204686,-0.50265485,0.40055183,-0.28848186,-0.288189,-0.18361135,0.03753214,-0.207806,-0.05214754,0.3100374,-0.27439883,0.074793324,-0.06674231,0.34708488,-0.44348156,-0.10861436,-0.44475442,-0.1408542,-0.53616256,0.04450136,-0.00973711,-0.018524107,-0.10626063,-0.33659318,-0.087603234,0.21819736,0.33885637,-0.017403306,-0.2919709,-0.17831162,-0.1911439,0.23153308,0.060534757,-0.031276617,0.04176537,-0.3888516,0.23352475,0.40201083,-0.2677196,-0.18559878,0.0051794187,-0.063632526,0.028785035,0.05000022,-0.39016968,0.35074824,0.3429657,0.36897403,0.0057691946,0.32260975,-0.105883054,-0.28688872,0.018392961,0.34792483,0.31705418,0.13882451,0.13172227,0.12615749,-0.21109658,-0.19744582,-0.0422658,-0.0084644025,-0.1435467,0.49832654,-0.47715214,0.17449859,0.0957002,0.3685115,0.05976764,0.26234365,-0.2331116,0.04541799,-0.09503707,0.006076935,-0.15732914,0.05484032,-0.40643623,-0.3141257,-0.31588167,-0.16572414,0.434159,0.22201948,0.2267474,0.29025206,-0.0775842,0.18669794,0.0645708,-0.07356319,-0.13681987,0.4110254,0.045495823,0.21524434,0.006913023,-0.027330907,-0.34615883,0.67616755,-0.12926579,0.37994927,0.18642302,0.0012280488,0.25430036,-0.06107015,0.26789385,-0.03909091,0.022468932,-0.28830647,0.31223294,0.17955868,0.32247865,-0.14086659,0.01411605,0.25895807,-0.15100954,0.21959072,0.50896215,-0.355372,0.15753312,-0.06863365,-0.042405315,0.50339484,-0.14862369,-0.29394487,-0.10949232,0.1522652,-0.012136675,0.3168469,-0.18584202,-0.23848578,-0.46081987,-0.11052154,0.2312481,-0.08188448,0.02562677,0.23860577,0.25589374,-0.055400364,0.045567792,0.18875118,-0.14005311,0.50039124,-0.1318568,0.36215907,-0.07715791
9,1,-0.23398,0.2526725,0.19672784,0.056224898,-0.21206002,-0.00027449336,0.17266618,0.24065618,0.34450084,0.13161668,-0.05440367,0.05533389,-0.04922699,0.5248068,-0.089871384,-0.09574707,0.022524085,0.4474193,0.15597595,0.18209891,-0.2642892,-0.22854705,-0.20790197,0.41992283,0.123793796,-0.048158392,-0.1898081,0.09327065,-0.16942164,0.25416255,-0.37464073,0.12658592,-0.13279605,0.26913807,-0.012524498,0.074161746,-0.22188781,0.27335393,0.1537825,0.31529662,0.0394941,0.022151846,0.03672132,0.4061762,0.15253638,0.21010605,0.22836557,-0.00927609,-0.05714506,0.024349956,0.113445066,0.054858938,-0.26015043,0.0016831516,-0.0068869693,0.075826734,0.2494252,-0.081775375,-0.27609998,0.040348463,-0.14507978,0.039235394,-0.13059546,-0.039830487,-0.048325397,-0.30837435,-0.14496027,-0.068149045,-0.18415885,-0.06029538,0.41106746,-0.19536406,-0.09473545,-0.240155,0.034138806,-0.18609785,0.21276867,-0.21467976,-0.008330584,-0.10480845,-0.019172108,-0.221346,0.04899326,0.39635012,0.1689881,-0.11374456,0.017466027,-0.18374309,0.31250414,0.09347034,-0.12678832,-0.002097462,-0.2982629,0.08131792,0.35151526,0.15107922,-0.13413465,0.034338456,-0.26241302,-0.089433245,-0.15478925,-0.25728574,0.10803793,-0.17585872,-0.14223808,-0.023776397,0.22998793,-0.051216215,-0.5389186,0.26869902,-0.04099976,0.18297747,-0.25753686,0.21639805,-0.11409619,-0.14060117,-0.15950246,-0.009968196,0.2626465,-0.4705818,0.24468955,-0.08044212,0.16451263,-0.07157209,0.08040585,-0.0016061165,-0.1516625,0.2409561,-0.02837235,0.06441689,0.4510302,-0.112259954,0.015376802,-0.329009,-0.09791448,-0.15092617,0.09103291,0.5298627,0.09624658,0.27635953,0.13588575,-0.11184848,0.1300236,0.2766857,-0.08915225,-0.14986679,0.24588895,-0.117494956,0.20444685,-0.075275026,-0.11900907,-0.34721735,0.356675,-0.11190151,0.12550414,0.20262337,-0.15558548,0.14538708,-0.12867118,0.3059181,0.09253771,0.05907578,-0.34157017,0.20025864,0.5230344,0.24309294,-0.02454843,0.1336048,-0.024643382,0.123279326,0.3514814,0.2730869,-0.12592943,0.28828442,0.11203204,0.0681451,0.2672805,-0.10193871,-0.054403525,0.37577686,0.055530943,-0.09675582,0.23806082,0.12642647,-0.07708993,0.05823424,-0.12004062,0.11510683,-0.29301998,-0.00818548,0.052769564,0.27929682,-0.17745963,-0.12303928,0.18350072,0.13252956,0.46855754,-0.013406159,0.41248158,0.047106437
