,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,7,1,0.18868074,0.27291098,0.28983846,0.21913752,0.24042095,0.09404463,-0.30295324,0.27239227,0.22322263,-0.13204762,-0.106159896,0.037085734,-0.26065403,0.0030661204,0.073729455,-0.3577773,-0.14999527,0.3572557,0.16192298,0.3799959,-0.042707674,-0.0033391702,0.001757022,0.2603529,-0.04379785,-0.14874922,0.14601512,-0.3111104,0.09995367,0.3932118,-0.020241037,0.05100276,-0.05806248,-0.0028329564,0.15023449,-0.3458481,-0.056195937,-0.14511228,-0.21199678,-0.20796788,-0.484043,0.16384345,-0.026725052,0.33651093,-0.049930517,-0.14324753,-0.0076666125,-0.12880993,0.06897185,0.13037227,-0.2073413,0.09441136,0.5555655,0.065696314,0.24539196,-0.28344578,0.12949942,-0.23703134,0.14088766,0.21084511,-0.32831937,0.21149968,-0.07660121,0.17334473,0.24960841,0.163484,0.053939123,-0.116413034,-0.08750947,0.0949406,-0.22579609,-0.18818414,0.0034149007,-0.23167805,0.17324805,0.14410394,-0.0964304,0.033220947,-0.3263697,0.105288066,-0.026264805,-0.12515824,-0.055847473,-0.13117093,-0.097439595,-0.14680947,0.024370892,-0.26659158,-0.5338729,0.40820628,0.31516808,-0.18041085,0.0034175308,-0.0063889907,0.36836097,0.10454549,0.0076148827,-0.16197383,-0.07604194,-0.13887496,0.06173497,-0.49640188,0.06402287,-0.24224474,0.019353105,0.0045543276,-0.3118725,0.08585771,-0.037553135,-0.19035901,-0.21634279,0.041589934,-0.33378255,0.122606084,-0.27915335,-0.20438363,-0.33130866,0.017143622,0.26576418,-0.23297857,-0.42021844,0.29936814,0.44543839,0.050295785,-0.052071907,-0.070018835,-0.23203185,0.117040865
1,0,1,0.11158655,0.10333929,-0.003916996,0.04725694,0.03683931,-0.11186528,0.0073963115,-0.015932832,0.13811913,-0.11285056,-0.014795131,0.029654888,-0.1951319,0.1317112,0.0232853,-0.10682359,-0.142218,0.36717352,0.17684941,0.23918962,-0.0683847,0.08684304,0.16712038,0.17523214,0.06977541,-0.16437392,0.2675397,-0.27281627,0.18845987,0.21494853,0.027288187,-0.027771244,0.056163557,0.18655539,-0.116635725,-0.3807896,-0.15248644,0.042181972,-0.043209925,-0.2611853,0.045073338,0.21115062,-0.15832178,0.18805277,-0.12760267,0.18622044,0.11639471,0.005352051,0.018766286,-0.035435632,-0.27285773,0.28034756,0.28751516,0.20270604,0.28653023,-0.40808502,0.21130729,0.0117142415,0.23880728,-0.013227139,-0.325148,0.08166818,0.08675556,0.17922102,0.07640786,-0.064589225,0.123270154,0.013830257,-0.23699325,0.23014596,-0.28455192,0.081905514,-0.10243676,-0.2795777,0.13444537,0.16269135,-0.0087182345,0.20018514,0.22292742,0.02346753,-0.03387552,-0.12982705,0.16468714,-0.23171034,0.11000629,-0.14056244,0.14514647,-0.3471826,-0.3650671,0.3283742,0.35482678,-0.096505485,0.006862732,0.004468195,0.29800993,0.12300578,0.23509264,0.07205259,-0.050073497,0.0003302619,0.031972308,-0.45028186,-0.02651346,-0.13163675,0.011030741,-0.18687789,-0.34691563,0.14759003,0.1249823,-0.17907384,-0.2728415,0.0182778,-0.0068451213,-0.045503832,-0.108997434,-0.21118389,-0.338971,0.15666838,0.15125094,-0.34548694,-0.39800605,0.4914814,0.048821695,0.1371545,-0.2424397,0.040020194,-0.05348831,-0.18227331
2,11,1,0.21467055,0.20031488,0.2750557,0.2572927,-0.11277949,0.27724838,-0.3305204,0.14289396,0.20211068,-0.08914592,-0.08290978,-0.09669938,-0.2558959,0.27971596,-0.08500683,-0.07789057,0.11265784,0.30655512,0.01121297,0.22272399,-0.018882306,-0.031102357,-0.067222275,0.39073968,0.059744943,0.09401604,0.16341041,-0.27346504,0.12591703,0.23171751,0.005656461,0.04550621,-0.1175553,-0.06801144,0.16422579,-0.21860845,-0.11330898,-0.12805277,0.080387585,0.2386596,-0.08708539,0.2820639,0.0730601,0.3280836,0.18306184,0.10986684,-0.034440946,-0.23720983,0.22156112,-0.09344714,-0.24776188,0.049656354,0.48691297,0.044055283,0.15162283,0.0057478175,-0.11190094,-0.2740348,-0.13178644,-0.10739639,-0.26273397,0.12902428,-0.1528881,-0.08439392,0.29164973,0.30516043,-0.13125265,-0.27271986,-0.09434075,0.14461909,-0.31602272,0.08107399,0.04064236,0.08778784,0.07843384,0.1830388,0.0021000437,0.29876083,-0.19969591,0.016668363,0.003769946,0.04676872,-0.19977425,-0.1124909,-0.037043575,-0.06798209,-0.009303957,-0.42243108,-0.4739915,0.35573328,0.1710683,-0.4008639,0.36975983,-0.23114692,0.20117508,0.102908455,0.040566336,-0.17934407,-0.16275825,-0.12849954,0.09111438,-0.33046764,0.19986401,-0.24877496,0.18948238,-0.23652992,-0.33612522,-0.050573945,0.03831548,-0.20761986,-0.08153239,0.2969196,-0.29767975,-0.13656083,-0.033104032,-0.16952401,-0.38491365,-0.0044485335,0.32505774,-0.18832232,-0.2556768,0.21163706,0.2262715,-0.09538545,-0.1590832,-0.0013694606,-0.2971119,0.2625405
3,7,1,0.12046641,0.20398428,0.26033655,0.20348574,0.012692996,0.14297178,-0.18913151,0.13786434,0.0803478,-0.06341063,-0.060981434,0.050631687,-0.10363645,0.105403654,0.071203746,-0.16013028,-0.1504003,0.41054097,0.094346106,0.27114543,-0.0105984565,-0.017123096,0.11616233,0.13738506,-0.050242398,-0.21488577,0.16022491,-0.28578636,0.21127266,0.2693923,-0.08862083,-0.045714766,-0.15311839,0.02523548,0.15103176,-0.32869065,-0.15247235,-0.103813745,-0.13954985,-0.005960252,-0.4480292,0.19034348,-0.052897397,0.16654092,0.039166283,0.08981015,-0.2466956,-0.12389196,-0.07186537,0.041332163,-0.15630601,0.11491548,0.39506492,0.21992426,0.09773096,-0.22864242,0.09763958,0.007536157,0.049249806,0.055817537,-0.2935906,0.1235038,-0.10842361,0.113801874,0.19743575,0.16540205,0.19952527,-0.059344478,-0.15385453,0.20447071,-0.32203904,0.10740079,-0.14716917,-0.17882597,0.21631598,0.13666537,-0.1582982,0.0474747,-0.14437054,0.134463,0.110665016,-0.03521665,0.11080086,-0.07773852,-0.04291173,-0.11469164,0.042011883,-0.3188521,-0.39815593,0.3483298,0.14673379,-0.12862793,0.23105271,-0.013224059,0.2914094,0.16780044,0.10980128,-0.10814651,-0.06870812,-0.05676713,-0.07825613,-0.4543041,0.026554953,-0.19250348,0.025943454,-0.08498689,-0.35136583,0.014628521,0.1847307,-0.19235213,0.007877948,0.06481671,-0.13643341,0.09522779,-0.16380197,-0.33878964,-0.364966,-0.028489426,-0.013393737,-0.26365665,-0.4058355,0.29253295,0.19810614,-0.005085931,-0.16551745,-0.0025336838,0.020702764,0.15230583
4,0,1,-0.07574603,-0.26021627,0.2319266,-0.072282694,-0.19670108,-0.3060607,-0.05155187,-0.18276575,0.2916718,-0.056110423,-0.29455787,0.16194312,-0.27043387,-0.22757445,0.35667142,-0.024255754,-0.06498841,0.097242974,0.23405604,0.45780692,-0.13736582,-0.08586758,0.50979334,0.031600498,-0.00052115315,-0.1458105,0.30386755,-0.12907282,0.045228265,-0.0929152,-0.42828584,0.13846037,0.026795832,0.24706964,0.18217058,-0.109729744,-0.33628875,0.009087781,-0.21489416,-0.075802594,-0.2155434,0.41696322,0.23923448,-0.060522594,0.019983834,0.047206003,-0.06950693,-0.113331966,-0.24518812,0.051914312,-0.33901703,0.31144875,0.4043161,0.43733412,0.08383809,-0.057948086,-0.02159078,-0.1264397,0.29951686,0.08857328,-0.1861826,0.08908695,0.019561805,0.043694604,0.13217248,-0.10007594,0.25664222,0.047720294,-0.06220277,-0.24383189,-0.25302976,0.071567014,-0.14072761,0.03434461,-0.027072031,0.25007215,0.11189119,0.2423034,-0.07485282,0.059467565,-0.061335556,0.09425252,0.35452008,-0.049181774,-0.25971848,0.08078377,-0.25344285,-0.47221592,-0.08726746,0.43891913,0.16180137,-0.18611583,-0.032046583,-0.22462963,0.25095114,0.06182081,0.36215967,-0.108383626,0.013637353,-0.0019125692,0.17462622,-0.4016165,-0.27161318,-0.28673506,-0.06454222,-0.27932748,-0.32943818,0.101622775,0.14140934,-0.22036493,-0.45581412,0.2625807,-0.27136385,0.07717734,-0.1341356,-0.35961488,-0.66775477,-0.013981348,0.2616873,-0.41521057,-0.42969233,0.30436245,-0.0070537874,0.19928232,0.0045528654,0.50861686,-0.08009241,0.23289266
5,6,1,0.19971703,0.18726598,0.29982293,-0.03639723,0.08318436,-0.027826827,-0.13495249,-0.12731631,0.019068668,-0.110320024,-0.057240773,-0.10532875,-0.20953795,0.17695472,-0.05570263,0.040270295,-0.064922705,0.26321936,-0.0329849,0.35532555,0.11480247,-0.09957778,0.24880579,0.1380934,0.019648861,-0.17661163,0.020275269,-0.32098725,0.15177271,0.17617235,0.10808945,-0.1155803,0.025156926,0.26278254,0.091400534,-0.08062749,-0.012924376,-0.061626755,0.15597934,0.07881472,-0.06713619,0.29556713,0.012818245,0.30630335,-0.012998482,-0.010097453,-0.06326562,-0.11259435,-0.18395308,0.1312391,-0.38979033,0.18467283,0.25537252,0.12682147,0.2769537,-0.24422869,0.105388425,-0.03601668,0.014546478,-0.012439049,-0.40300402,0.13469703,-0.03747641,-0.022725886,0.09969069,0.11058398,0.2554177,-0.18680805,-0.012749353,0.16020595,-0.3184723,-0.116412476,-0.16058123,-0.11501704,0.1254673,0.08459125,-0.10401669,0.15618622,-0.043825187,-0.16680889,-0.011990874,0.05632372,-0.008221571,-0.09593445,0.039296944,-0.065142944,0.05144353,-0.27102283,-0.35039952,0.38840276,0.11816088,-0.041072953,0.32109526,-0.1381991,0.32745042,-0.030902512,0.120164886,-0.0810197,-0.1720224,-0.12739351,-0.21069661,-0.2787089,-0.07235955,-0.11209069,0.012839993,-0.059008326,-0.4984213,0.16312514,0.034350216,-0.1742522,-0.12840444,0.14949094,-0.08328949,-0.23246814,-0.19508193,-0.29429677,-0.33912277,0.004508241,0.20937733,-0.18752767,-0.5023203,0.36878386,0.037651423,-0.11008394,-0.056337517,-0.010969988,-0.09660954,0.058096718
6,11,1,0.01984686,0.13997477,0.24628764,0.29406855,0.009560052,0.34507594,-0.45637077,0.07932115,0.17807265,-0.08127853,-0.06409093,-0.09986245,-0.16228582,0.31815615,-0.00391336,-0.16664287,0.059684563,0.30037475,0.06362446,0.33444402,-0.12521186,-0.094860755,-0.11811528,0.4157445,0.00033877045,0.013765236,0.20939256,-0.21280734,0.2379605,0.27882123,-0.05450326,-0.08325791,0.0054230513,-0.2555424,0.23965602,-0.14230518,-0.20064652,-0.23944739,0.034437284,0.2543152,-0.1646787,0.3706603,0.06506804,0.29947844,0.25313288,-0.006707091,-0.0720779,-0.23575415,0.19258772,-0.08768547,-0.25754544,-0.007961918,0.61679846,0.035540625,0.20054197,0.04324191,-0.09134467,-0.3150008,-0.056831256,-0.045548625,-0.17577042,0.16223879,-0.12545432,-0.066666216,0.32084528,0.42493194,0.014643628,-0.32926342,-0.08576973,0.36176193,-0.3301966,0.079782106,0.106004015,0.08832839,0.06335289,0.10755442,-0.082181744,0.32249123,-0.33596462,0.023024479,0.12625809,-0.070383586,-0.1795585,-0.08059585,-0.23017795,-0.062217515,-0.040682312,-0.49920565,-0.5172218,0.45858464,0.109976016,-0.46294168,0.40673614,-0.27540293,0.27559966,0.1352002,-0.09157329,-0.45645928,-0.20876795,-0.24517363,0.054865174,-0.4072084,0.14110239,-0.27990994,0.086165495,-0.15524264,-0.4077546,0.10816382,0.023289071,-0.17503652,-0.15124169,0.32936212,-0.49468568,0.0018891223,-0.030252114,-0.16185512,-0.35908344,-0.2696861,0.41248664,-0.09179958,-0.20788708,0.10117254,0.35372686,-0.108432025,-0.10891103,-0.024503361,-0.22728658,0.45566422
7,11,1,0.113246284,0.11830642,0.16515023,0.4064229,0.10533956,0.21847251,-0.47282374,-0.17802879,0.19392723,-0.06298966,-0.04512689,-0.1365472,-0.17091581,0.12570567,-0.050403073,-0.18972848,-0.10394208,0.3486722,0.22111525,0.35864794,-0.05173304,-0.1518003,-0.016693326,0.17482838,-0.06363696,-0.26392418,0.12671934,-0.36504143,0.17070763,0.11300738,0.07636393,0.057181854,0.00951923,-0.19031791,-0.035701428,-0.17849356,0.042340804,-0.25735304,-0.15737398,0.23888277,-0.28384674,0.3317046,0.052424166,0.09934301,0.29790497,0.016368149,0.11440808,-0.20668842,0.28623042,-0.065149516,-0.405826,-0.047093444,0.5247977,-0.05335544,0.40752962,-0.01113485,-0.07075279,-0.39210942,0.061119083,0.1703212,-0.24756312,0.18804702,-0.19008514,-0.12510636,0.24897546,0.27807721,0.32978418,-0.21908018,0.046516918,0.23143871,-0.40247372,0.18343823,-0.034600798,-0.061212864,0.17030966,0.093770415,-0.19635403,0.15571325,-0.41345495,0.12914683,0.15531695,-0.0038089158,0.020480257,-0.15605968,-0.23924011,-0.04599531,-0.13530982,-0.47087675,-0.47556567,0.46299118,0.1702724,-0.41861337,0.07937244,-0.13646966,0.3356205,0.24062859,-0.11314563,-0.3481694,-0.32665217,-0.019404627,0.14650993,-0.41824895,-0.16797629,-0.031577017,-0.02070852,0.038850926,-0.18213977,0.30334425,0.07480919,-0.06910186,-0.10471771,0.10611477,-0.56899005,-0.17125249,-0.058527477,-0.13047962,-0.33390465,0.03459777,0.28984076,0.03500836,-0.14760819,0.096891254,0.29833114,-0.23009601,-0.0021396172,-0.12371855,-0.4003237,0.43538433
8,0,1,-0.1008314,-0.22586727,0.2137798,-0.08953998,-0.2248975,-0.3187866,-0.05369311,-0.26373613,0.23087098,-0.04354857,-0.26827946,0.14959104,-0.17296356,-0.23867853,0.29054737,-0.107045375,-0.032251477,0.120634034,0.18109556,0.45893627,-0.098267145,-0.068664335,0.48460495,0.065355435,-0.008693059,-0.09124194,0.36085933,-0.13457625,0.055809595,-0.07480089,-0.38848695,0.08697424,0.00050292903,0.33988792,0.17677286,-0.10898758,-0.25995052,-0.0014898021,-0.20405357,-0.017167376,-0.20836598,0.4018226,0.26722196,-0.03787848,-0.009821233,-0.039761968,-0.101875,-0.137482,-0.17375268,0.06977539,-0.36408654,0.3314369,0.45937112,0.48775873,0.13118525,-0.016088082,-0.02361675,-0.11998349,0.2704073,0.12055619,-0.23334792,0.09879131,-0.0080990065,0.107414596,0.18156117,-0.14862873,0.2612988,-0.0078020003,-0.049160942,-0.1958249,-0.27911597,0.05319104,-0.16762911,0.023794074,0.04684328,0.30226135,0.19019997,0.26625407,-0.051672038,0.07298313,0.00041770746,0.08280443,0.3106743,-0.025432657,-0.36031607,0.080412544,-0.218096,-0.4780696,-0.05841854,0.4862643,0.15288335,-0.22829325,-0.04425855,-0.2589353,0.26408824,0.0827332,0.4086196,-0.14862998,0.043001708,-0.033055875,0.28303096,-0.37083894,-0.3091786,-0.25139344,-0.05000695,-0.3192466,-0.26636246,0.113869525,0.16572115,-0.23773535,-0.38868424,0.20828433,-0.2872642,0.124690734,-0.1835092,-0.29921967,-0.6242918,0.009998197,0.26944616,-0.41436467,-0.3776608,0.31244138,-0.04890812,0.20630845,0.0099036135,0.52909636,-0.120334566,0.25881445
9,6,1,0.19971703,0.18726598,0.29982293,-0.03639723,0.08318436,-0.027826827,-0.13495249,-0.12731631,0.019068668,-0.110320024,-0.057240773,-0.10532875,-0.20953795,0.17695472,-0.05570263,0.040270295,-0.064922705,0.26321936,-0.0329849,0.35532555,0.11480247,-0.09957778,0.24880579,0.1380934,0.019648861,-0.17661163,0.020275269,-0.32098725,0.15177271,0.17617235,0.10808945,-0.1155803,0.025156926,0.26278254,0.091400534,-0.08062749,-0.012924376,-0.061626755,0.15597934,0.07881472,-0.06713619,0.29556713,0.012818245,0.30630335,-0.012998482,-0.010097453,-0.06326562,-0.11259435,-0.18395308,0.1312391,-0.38979033,0.18467283,0.25537252,0.12682147,0.2769537,-0.24422869,0.105388425,-0.03601668,0.014546478,-0.012439049,-0.40300402,0.13469703,-0.03747641,-0.022725886,0.09969069,0.11058398,0.2554177,-0.18680805,-0.012749353,0.16020595,-0.3184723,-0.116412476,-0.16058123,-0.11501704,0.1254673,0.08459125,-0.10401669,0.15618622,-0.043825187,-0.16680889,-0.011990874,0.05632372,-0.008221571,-0.09593445,0.039296944,-0.065142944,0.05144353,-0.27102283,-0.35039952,0.38840276,0.11816088,-0.041072953,0.32109526,-0.1381991,0.32745042,-0.030902512,0.120164886,-0.0810197,-0.1720224,-0.12739351,-0.21069661,-0.2787089,-0.07235955,-0.11209069,0.012839993,-0.059008326,-0.4984213,0.16312514,0.034350216,-0.1742522,-0.12840444,0.14949094,-0.08328949,-0.23246814,-0.19508193,-0.29429677,-0.33912277,0.004508241,0.20937733,-0.18752767,-0.5023203,0.36878386,0.037651423,-0.11008394,-0.056337517,-0.010969988,-0.09660954,0.058096718
