,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,8,1,0.22481227,0.08792933,0.29102665,0.4944812,-0.18224977,0.37602693,0.1895092,0.22965053,0.40326875,-0.013361034,-0.6592222,0.22303778,0.35129187,0.17405836,0.10059731,0.18408345,0.06612357,0.23766978,-0.0016854594,-0.05123518,0.22599186,-0.036402315,0.111081555,0.61554456,-0.027443182,-0.21528682,0.06860253,-0.23313305,0.11490221,0.041180883,-0.18909782,0.16087678
1,4,1,0.037104044,0.14637132,0.12676662,0.36222115,0.2856981,0.4258586,-0.18727396,0.1407037,0.37366682,0.0559136,-0.53143543,0.58143497,-0.12717044,0.057405196,-0.004465498,-0.12263271,0.27952436,0.11724428,-0.20568547,0.22714524,0.017614927,0.28274715,0.078188986,0.47649622,0.05306135,0.025045,0.22665702,-0.21016245,0.013046063,-0.16022836,-0.032421667,0.06637279
2,6,1,-0.15345475,-0.0039065727,0.20069875,0.33867258,-0.4163149,0.24325046,0.22598004,0.030382387,0.31544924,-0.22642809,-0.74566245,0.1493544,0.39698812,0.08145849,-0.38874954,-0.06169358,-0.40280515,0.39231196,0.054651067,-0.17149504,0.6117412,0.22361131,0.2590024,0.36923826,-0.09267454,-0.028424844,0.044434734,-0.3671122,0.32678345,0.096422635,-0.15428828,-0.016130678
3,8,1,0.22004063,-0.1068026,0.120261304,0.24543275,0.008291281,0.32235026,0.15431029,-0.098806106,0.14410028,-0.062807284,-0.5882636,0.06891062,0.25374478,0.2179795,-0.13119312,0.04951873,0.05242601,0.20046078,0.0064151525,0.1428733,0.44797537,0.18973662,-0.08395081,0.41561425,0.130141,-0.2117939,0.19503511,-0.095845096,0.13969877,0.123969406,0.085884616,-0.06309954
4,4,1,-0.041320298,0.002563903,0.16743241,0.21311787,0.13056286,0.009993325,-0.29703766,0.31946313,0.290967,-0.10193139,-0.5344699,0.56364334,0.26510954,-0.09618942,-0.1985734,-0.053553157,0.577119,0.52245075,-0.27429223,0.3090655,-0.0031705988,0.41278702,0.15788274,0.4912386,0.22298257,-0.11281352,0.25463146,-0.3377608,0.2559871,0.00090068555,0.3505187,0.29328728
5,4,1,0.120522834,0.02622334,0.13247652,0.33809188,0.20350301,0.4127096,-0.0928922,-0.058868755,0.41706282,-0.11645448,-0.6303907,0.48133397,0.10980893,0.012618595,-0.3124699,-0.28581065,0.1584492,-0.060913544,-0.26460996,0.24933743,0.27026722,0.21743011,-0.045533027,0.35764423,0.22082342,0.032735344,0.21041106,-0.2185518,0.24212675,-0.21663952,0.01409463,0.19692662
6,6,1,-0.10575233,-0.048886467,0.22942972,0.3738213,-0.54121095,0.14601038,0.26051965,0.3001638,0.28429043,-0.19718246,-0.80412793,0.2088167,0.41431466,0.24682648,-0.3767223,0.051373728,-0.39885068,0.48701632,0.11955293,-0.19171555,0.56598717,0.23686317,0.22871986,0.35350502,-0.11484257,-0.14095739,0.063387826,-0.47016168,0.32800156,0.033877652,-0.2839137,0.058257654
7,6,1,0.07914674,0.03237067,0.17977789,0.3618485,-0.4703995,0.2411844,0.080191694,0.17786366,0.30519518,-0.24539731,-0.74963135,0.41391197,0.43420792,0.2907667,-0.07686306,0.16124795,-0.1586075,0.4589128,0.056282192,-0.074061655,0.3822697,0.035289373,0.07481963,0.5916213,-0.18430054,-0.082945354,0.16850789,-0.337445,0.096048996,-0.036587708,-0.09600742,0.08084594
8,4,1,0.055439137,0.033248488,0.07561735,0.24165022,0.086739875,0.064149335,-0.28415102,0.1867116,0.38435793,-0.1057491,-0.6134073,0.59877133,0.21502799,-0.045439932,-0.29721165,-0.17612855,0.49432522,0.45227686,-0.2910875,0.31706268,-0.0155956615,0.4710435,0.097746804,0.50754493,0.23992974,-0.12136264,0.25583678,-0.32053578,0.3088919,-0.024971746,0.39664674,0.250355
9,4,1,0.120522834,0.02622334,0.13247652,0.33809188,0.20350301,0.4127096,-0.0928922,-0.058868755,0.41706282,-0.11645448,-0.6303907,0.48133397,0.10980893,0.012618595,-0.3124699,-0.28581065,0.1584492,-0.060913544,-0.26460996,0.24933743,0.27026722,0.21743011,-0.045533027,0.35764423,0.22082342,0.032735344,0.21041106,-0.2185518,0.24212675,-0.21663952,0.01409463,0.19692662
10,6,1,0.047039118,0.009144666,0.12282449,0.4043507,-0.39313227,0.11360771,0.30937412,0.0033342715,0.22325297,-0.19356903,-0.7673271,0.14896862,0.42775726,0.19356054,-0.37785745,0.07287197,-0.3675016,0.42982963,0.14296652,0.020547358,0.68237746,0.06867941,0.109390534,0.4071461,-0.14471848,-0.25836688,0.16550483,-0.37193838,0.27893245,-0.13373984,-0.10263762,-0.093600094
11,6,1,-0.18579324,-0.020418987,-0.019971404,0.45193872,-0.39479306,0.019343385,0.384667,-0.08806112,0.20532295,-0.10742875,-0.72701436,0.30109802,0.5374523,0.188233,-0.2400704,0.055716272,-0.3628399,0.46438345,0.025178289,0.051320218,0.7195312,0.10026248,0.05730289,0.6240294,-0.15009777,-0.27403882,0.13447788,-0.47777855,0.43146613,-0.25192672,-0.17199978,-0.19528233
