,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,28,1,-0.008430833,-0.024215298,0.2124062,-0.0017440823,0.21325621,-0.14207876,-0.15829672,0.2851371,-0.053539544,-0.1464574,-0.13432351,0.16295987,0.456629,0.025013216,-0.04195585,0.16614784,-0.020842334,-0.08918619,-0.058468573,-0.0028879284,0.16711622,0.32968694,0.49653333,-0.20039225,0.064512074,0.10486426,-0.099078916,-0.43997172,-0.021558028,0.114275925,-0.18658684,-0.05985481,0.5344881,0.033055194,0.5107566,0.112955496,0.04085179,0.22082315,0.3635174,-0.09667031,0.0152112655,0.013825251,0.1033215,0.1919968,0.11796606,-0.16759256,-0.13347091,0.1283361,-0.6989544,0.362581,-0.06710213,-0.42243996,0.026235735,0.3244192,0.15738823,-0.058181554,0.10949788,0.2711447,-0.18364367,0.037734345,-0.18530661,0.08486834,-0.32760897,0.36571625
1,24,1,-0.13229069,-0.10125625,0.03609226,0.028351918,0.036857147,0.021317858,0.12150595,0.42917266,-0.07999939,-0.22726497,0.020652795,-0.18716459,0.15570389,0.06998045,-0.32040095,0.11539219,0.13615268,-0.17211488,-0.053017545,-0.099283956,0.1284296,0.036711078,0.3854366,-0.49485594,-0.18952204,0.09520747,0.14213516,-0.23267423,-0.16835226,0.18346435,-0.20179749,-0.19012523,0.35735905,0.060176443,0.37310356,0.2731566,-0.03816744,0.28365445,0.3125731,0.032801554,0.23525204,-0.010970212,-0.14167094,0.1447454,0.110299416,-0.0110789025,-0.07524359,-0.05599118,-0.47332114,0.15320045,-0.11315167,-0.09490455,0.14258498,0.13577856,0.45075768,0.19910413,0.12454928,0.120379224,0.3171565,0.05294377,0.042976595,0.15451986,-0.10005682,0.16655235
2,28,1,0.03409271,-0.2315327,0.05385262,0.165148,0.39122617,0.10350453,-0.25696245,0.19179578,-0.19184606,0.037902772,0.13084558,0.27477595,0.4751147,-0.146779,0.03503122,0.133987,-0.020590508,0.11730274,-0.13371465,0.24289252,0.24142027,0.32769,0.4910051,-0.34544024,0.15425496,0.07144143,-0.108798414,-0.33791342,0.31348488,0.23302324,-0.10204881,-0.0806567,0.4581363,0.0034750039,0.39692914,0.063439555,0.07789327,0.16635373,0.56533223,-0.11111688,0.009555049,0.12297667,0.26926723,0.21327648,-0.08966882,-0.0869495,-0.0539571,0.18041669,-0.6882663,0.4262547,0.046804667,-0.19781758,0.09133098,0.23790957,0.09111759,-0.0869546,0.018771999,0.019964969,-0.26342896,0.13193384,-0.23917407,0.19059104,-0.26248297,0.24684787
3,6,1,0.091492645,-0.12571377,-0.04624646,0.03652842,0.17609267,0.0061199944,-0.31020737,0.24752457,-0.20394462,0.031732704,0.07167408,0.13836624,0.47605354,-0.1286289,-0.06075699,-0.035312302,0.052390687,-0.07534414,-0.16718534,0.053947873,0.22736958,0.13572086,0.51243645,-0.35643706,0.09023484,0.037662636,0.0142873395,-0.36307353,0.17667243,0.105580404,-0.17298223,-0.042988364,0.501651,-0.14362377,0.35060015,-0.0018255318,-0.009516255,0.12567763,0.40484026,0.039357513,0.19598125,0.09731726,0.0794364,0.2550832,0.055034563,-0.078617945,-0.018727165,0.20326835,-0.6408243,0.3769851,-0.120479435,-0.30378136,0.04455098,0.16365486,0.32920545,0.03376445,0.002074194,0.25143164,-0.13275066,0.104879096,-0.21844834,0.058195632,-0.14001334,0.33837038
4,14,1,0.15277337,-0.15693073,-0.110812165,0.072485395,0.30134392,0.017041717,-0.30972177,0.41385424,-0.20799431,-0.2681374,0.13871978,-0.06217588,-0.0057663056,0.15919062,-0.15324229,0.59434646,0.10543303,0.04814568,-0.016852943,-0.059592374,0.0018727385,0.4110587,0.5392441,-0.59188855,-0.019955754,-0.118022315,0.42390332,-0.16748837,-0.06326302,0.43494397,-0.16774113,-0.1249217,0.38142934,-0.22127263,0.004979115,-0.019417765,0.0015074674,0.31450525,0.23553666,0.07568544,0.05238686,0.21105349,0.15109685,0.11224528,-0.08309788,0.051170167,0.12406505,0.16571301,-0.4771326,0.068529844,-0.18331274,-0.0858224,0.20017377,-0.2634602,0.33770037,0.023457566,0.0039871424,-0.03345384,0.24161391,0.21629345,0.014477523,0.06741075,-0.087616734,-0.2404014
5,20,1,0.029939568,0.039816625,0.021126896,0.13861398,0.19344588,0.09694079,-0.27250892,0.48643917,-0.16258465,-0.25359225,0.057272978,0.14561273,-0.011770859,-0.09122713,-0.2600577,0.2643091,0.14113583,-0.028184026,-0.30401114,-0.029910894,-0.0031717871,0.14772609,0.63998216,-0.2410526,-0.054696318,0.08040414,0.16127537,-0.27481222,-0.0018795036,0.15726264,-0.19494595,0.20324983,0.47238785,0.0804864,0.3268493,0.09030441,-0.0773725,0.36496443,0.31105042,0.17429881,0.07360837,0.109809406,-0.2080118,0.21878456,-0.054368347,-0.0441007,-0.32200453,0.08989634,-0.56487584,0.49307087,-0.28318918,-0.33153445,-0.012011547,0.19956392,0.15307303,0.20516764,-0.05290977,0.07660931,0.01047969,0.38636145,0.17154086,-0.090643354,0.067924164,0.2192709
6,28,1,0.105199814,-0.29865903,0.074840434,0.04595456,0.37358046,0.074124835,-0.25636724,0.22720505,-0.17748068,-0.06438585,0.23046137,0.34101367,0.5670226,-0.10487723,0.008429779,0.0087743085,0.0062602535,-0.033924185,-0.20981508,0.39948988,0.34392312,0.5028538,0.43067995,-0.32020843,0.2156391,0.047090743,-0.034824047,-0.32920817,0.243646,0.18959233,-0.026915813,-0.15075906,0.42906132,-0.15459584,0.40454358,-0.013219749,0.16740587,0.09661302,0.66407555,-0.26017922,-0.09035231,0.18390654,0.26206437,0.21772839,0.0033822155,-0.09237267,-0.036625613,0.31450143,-0.73662114,0.29464242,0.09894306,-0.29762903,0.03262349,0.11505969,0.054505005,-0.122348055,0.026119184,0.07284016,-0.4171701,0.08731638,-0.27824587,0.10918045,-0.2189392,0.43833208
7,28,1,-0.016183438,-0.19414915,0.19612072,0.08132917,0.1992727,0.06644641,-0.23697807,0.22562176,0.018706005,0.14714308,-0.06805259,-0.021421812,0.5574211,-0.019179467,0.16704963,0.05961725,0.026959948,0.0060635954,-0.18575463,0.2672621,0.11918088,0.47320524,0.35818616,-0.37949616,0.0719798,0.017035568,-0.049181078,-0.33372027,0.055648327,0.06639012,0.053067576,-0.13729203,0.5897492,-0.045683082,0.28936446,-0.050736085,-0.04406271,0.16515212,0.5000066,-0.13916047,-0.19100195,0.22210464,-0.014400373,0.30259198,-0.013519607,-0.12314531,0.09400566,0.2319557,-0.72701,0.44467264,-0.0159779,-0.41356555,-0.12957074,0.011829317,-0.072705925,-0.06721315,0.045954708,0.21350928,-0.30783448,0.066749945,-0.2964957,-0.07181178,-0.4331733,0.40399808
8,14,1,0.22254252,-0.21211286,-0.124502145,0.07506836,0.32260513,-0.06360679,-0.40607524,0.3345181,-0.23868081,-0.3230034,0.16725318,-0.008554235,-0.023742523,0.26275998,-0.07306917,0.57917184,0.11451892,-0.0444717,-0.008209059,-0.027599469,0.109449476,0.40210024,0.51795655,-0.6488826,0.009855325,-0.13320488,0.46331325,-0.06705132,-0.043966334,0.4305796,-0.12888777,-0.09930801,0.3833448,-0.24855486,-0.05846237,-0.060374,-0.04952997,0.3037897,0.25404108,0.12356485,0.08551942,0.17456721,0.13528058,0.15144926,-0.058374617,0.10434282,0.12574083,0.17345709,-0.46021065,-0.073803686,-0.13580294,-0.07980222,0.27145773,-0.30119085,0.38384748,0.013179687,0.036561236,0.024850879,0.221326,0.22291276,-0.007569042,0.15687981,-0.07085359,-0.27914333
9,20,1,0.029939568,0.039816625,0.021126896,0.13861398,0.19344588,0.09694079,-0.27250892,0.48643917,-0.16258465,-0.25359225,0.057272978,0.14561273,-0.011770859,-0.09122713,-0.2600577,0.2643091,0.14113583,-0.028184026,-0.30401114,-0.029910894,-0.0031717871,0.14772609,0.63998216,-0.2410526,-0.054696318,0.08040414,0.16127537,-0.27481222,-0.0018795036,0.15726264,-0.19494595,0.20324983,0.47238785,0.0804864,0.3268493,0.09030441,-0.0773725,0.36496443,0.31105042,0.17429881,0.07360837,0.109809406,-0.2080118,0.21878456,-0.054368347,-0.0441007,-0.32200453,0.08989634,-0.56487584,0.49307087,-0.28318918,-0.33153445,-0.012011547,0.19956392,0.15307303,0.20516764,-0.05290977,0.07660931,0.01047969,0.38636145,0.17154086,-0.090643354,0.067924164,0.2192709
