,cluster,article,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,23,1,0.36658764,0.27990574,-0.083016284,-0.02133652,0.06075201,0.071741365,0.03431796,-0.1281546,0.114324935,-0.209255,-0.074288696,-0.60282534,-0.22275394,0.068784975,0.19998926,-0.15759398,0.07593421,0.11269453,0.005873881,0.03498606,0.16495553,0.2240799,-0.05529488,-0.06475217,-0.40385115,0.20130002,-0.06771576,0.13793771,0.077025495,-0.2093884,-0.074617155,-0.07301877,0.20267695,0.059703264,-0.040703654,0.30995044,0.01807737,0.0291624,-0.20600413,-0.0060054236,0.21700571,-0.07706354,0.013052162,0.03579664,-0.1401535,0.10099517,0.51721346,0.16870639,0.105163425,-0.16411072,-0.28565177,-0.22374651,0.041239202,0.15588123,-0.26003897,-0.07253176,0.2339054,-0.11619655,0.17840286,0.08577124,0.3083629,0.16998416,-0.036711384,-0.037478928,-0.4839147,-0.48675534,0.016198931,-0.23662412,-0.070740156,-0.34136513,0.13270402,0.037438784,0.102532096,0.14273892,0.1034649,0.12632133,0.0727033,-0.17417578,-0.05228315,-0.41484138,-0.2921209,-0.17320128,-0.40212804,0.12197814,-0.20992386,0.21672656,0.16611162,-0.16847564,-0.031780552,0.005290757,0.13682838,0.24268095,0.055415783,0.33163413,0.22778368,0.17551652
1,14,1,0.17765142,0.25405157,0.026896397,-0.22774726,-0.14746754,-0.013027997,0.32498905,0.1249492,0.23904812,-0.07253836,-0.2437795,-0.60344696,-0.4198282,0.23371027,0.1486612,0.1763278,0.07607893,0.11037467,0.134649,0.03476237,0.08430721,0.029510407,-0.22018406,-0.2284626,-0.13575779,0.20579952,0.012659762,0.06907095,0.28084376,-0.35534024,-0.15443303,-0.08160287,0.16124713,0.001215882,0.035980243,0.28012228,-0.21366109,-0.09095877,-0.34014183,-0.28280383,0.22984336,-0.031788476,-0.16044393,0.014585999,-0.06835467,0.08511345,0.5688435,0.047048543,0.115555115,0.06592997,-0.06939557,-0.24854796,0.24278304,0.11307592,0.0044215554,-0.20428945,0.080206685,0.058954824,0.4089183,0.19214138,0.22957684,0.08927209,-0.24005046,-0.12632482,-0.421712,-0.33020255,-0.022301262,0.18266404,-0.033626303,-0.37998876,0.034350768,0.06608568,-0.03318774,-0.008604515,0.28492087,0.28880787,-0.16621198,-0.051679946,-0.05044819,-0.13885668,-0.124165684,-0.018102322,-0.5142395,-0.04151466,-0.16434386,0.3153032,0.20634063,0.023255939,-0.0910324,-0.14995372,0.10199322,0.030821156,0.04688057,0.3944768,0.22530216,0.31147113
2,13,1,0.29681832,0.25245735,-0.17782827,0.18827537,-0.038867738,-0.2360067,-0.1316488,-0.07911832,0.004822701,-0.31394172,-0.21560374,-0.63086206,-0.011619176,0.15170702,0.044124607,0.01705248,-0.20720384,-0.13886508,-0.0721702,-0.038844403,0.30808467,0.010993581,0.18018594,-0.08280372,-0.35787043,0.1852625,-0.20095308,0.1519656,0.17417413,-0.2474143,-0.011306706,0.17055818,0.2894268,0.16753201,0.051594194,0.4409337,-0.14209226,0.21812804,-0.13514782,0.008535461,0.41502538,0.037028022,0.15515733,0.1584967,0.20452887,-0.025379853,0.32645804,0.17047183,0.06909199,-0.13064896,-0.28334302,-0.27657658,-0.10490405,-0.037208393,0.01691262,0.11713622,0.30691287,-0.17741671,0.0055483757,0.257398,0.13134491,0.26399788,0.11616098,0.09302982,-0.6262831,-0.44123164,0.11875385,-0.32706666,-0.09427304,-0.2647448,0.081380256,0.22481756,0.12811346,0.16170153,-0.021414848,0.11306987,0.17828247,-0.1469692,0.05290914,-0.29668367,-0.3797363,-0.0070370235,-0.34979802,-0.085485384,0.14348091,0.2519128,-0.08818388,-0.27882564,-0.18258668,-0.13119325,0.23147242,-0.06266869,-0.12697311,0.09912399,0.3224187,-0.1792365
3,23,1,0.3185562,0.30826545,0.045193683,-0.09536199,-0.0015648814,-0.15050627,0.020445358,-0.1611169,0.20471005,-0.25389826,-0.36559996,-0.5663065,-0.24018829,0.17612712,0.09867884,0.16172078,-0.119257525,0.10586945,-0.15276304,0.008788434,0.19600601,-0.018365497,0.0045501576,-0.15053509,-0.21620841,0.2028659,-0.07942112,0.054385107,0.05694878,-0.19088219,-0.01458788,-0.0871113,0.16359758,0.02843078,-0.025262788,0.109566815,-0.047327418,-0.118101165,-0.15554926,-0.15206604,0.24120788,0.013856031,0.107348785,0.12110054,-0.004069168,-0.010338478,0.50200015,0.18506402,0.117204055,-0.1424311,-0.09027283,-0.217088,0.010002339,0.09875014,-0.1806257,0.124457665,0.23567928,0.08530476,0.14139879,0.32583344,0.15201008,0.28342178,0.03855146,0.025195649,-0.4782627,-0.3055166,-0.058783993,0.0160623,0.011403141,-0.25519937,0.01603365,-0.10346033,-0.006931235,0.204984,0.072394006,0.014029861,-0.010706657,-0.14881842,-0.057802077,-0.14193542,-0.37273553,-0.021366324,-0.35517886,0.05294062,-0.17614916,0.35974467,0.20244011,-0.25136206,-0.030318668,-0.14182499,0.09790578,0.09007283,-0.11815623,0.22865835,0.18239227,0.11165127
4,14,1,0.17293335,-0.03715555,0.034655225,-0.18557633,-0.12994039,-0.17358539,0.087828554,0.043210108,0.13596524,-0.33547798,-0.41175288,-0.024528135,-0.38632268,0.032450765,0.19546993,0.36482465,0.32211578,0.086883545,-0.16519217,0.12487563,0.17950197,0.12682669,-0.21295236,-0.017621906,-0.16858798,0.036744934,0.07640167,0.17709123,0.09297211,-0.40780106,0.10421711,-0.19098449,-0.10608014,0.039325222,0.13892455,0.17087962,-0.066821486,-0.19388518,-0.36699724,-0.27020574,0.31544006,-0.07719912,-0.1764815,-0.1385663,-0.09088896,-0.05922914,0.33761433,0.04516061,0.12222708,-0.015310909,0.014835749,-0.2987378,0.33640736,-0.0030482018,0.2147066,0.13527359,-0.110617146,-0.0250917,0.39455962,-0.04275516,0.39780372,-0.17241868,-0.061865482,-0.13225776,-0.43806028,-0.35913482,-0.29303408,0.20994475,-0.09064405,-0.38848084,-0.120995276,0.21851492,-0.020435419,0.14167173,0.3083273,0.40656498,-0.19027567,0.11735361,-0.13356133,-0.25707445,-0.1555225,-0.03290299,-0.22020462,-0.23213348,0.06161202,0.26148322,0.38150355,0.17645241,-0.037933473,-0.2400483,0.24327533,-0.3674138,0.50105697,0.35896593,0.12876497,0.45471582
5,23,1,0.42323944,0.21393442,0.09519573,-0.21484463,-0.11397471,0.023484582,0.25360096,0.052801047,0.3313019,-0.017378109,-0.19000119,-0.5294688,-0.23777278,0.13940297,0.34812805,0.3545275,-0.016722554,0.070234075,-0.1436319,-0.011970798,0.30102852,-0.0021501002,-0.045928627,-0.1450426,-0.49733776,0.2200002,-0.21112658,0.16703749,0.1377628,-0.40698537,0.004727849,-0.12317049,0.087402105,0.17816678,0.02791816,0.26756212,-0.12829138,-0.10498757,-0.26720077,-0.13684648,0.1457173,0.01597758,-0.08531907,0.08683029,0.15216263,0.14626831,0.49971372,0.28630185,0.18497084,0.109671906,-0.22360422,-0.21754976,0.09857282,0.08763306,-0.103776075,-0.18156098,0.13840215,-0.09712107,0.29325145,0.40427947,0.2223608,0.14534004,0.06335889,-0.11858437,-0.4186829,-0.40797013,-0.11087557,0.019731866,0.16409521,-0.23632295,-0.033700112,0.11166767,-0.11410993,0.14650775,0.080238506,0.012004497,0.2607947,-0.18697943,-0.03229472,-0.06373275,-0.25941923,0.10685364,-0.48108086,0.21520673,0.09662943,0.3268514,-0.0059064683,-0.27352625,-0.19832997,-0.14066683,0.22179113,-0.026562953,0.036819078,0.29366383,0.16685086,0.28358173
6,13,1,0.30827615,0.47349146,-0.27676344,0.2900954,0.03938257,-0.20290533,-0.1291579,-0.10845929,-0.049694903,-0.34978148,-0.17929962,-0.6347132,-0.016338332,0.19989865,0.07588885,-0.0966702,-0.24966677,-0.08512361,0.009297639,-0.03412979,0.23487164,-0.076677,0.11262552,-0.12882335,-0.2728314,0.10802569,-0.21255074,0.13622695,0.23359832,-0.16965972,-0.07935874,0.29935843,0.40344882,0.1747417,0.061461598,0.32583323,-0.06994016,-0.023263846,0.012642079,0.061130516,0.32012925,0.00860877,0.27359912,0.14980522,0.18424699,-0.047349352,0.33141112,0.16590522,0.23599568,-0.12127685,-0.2737805,-0.39267942,-0.14033589,-0.07883987,0.12547322,0.25912547,0.2519312,-0.13113867,0.024988946,0.46321613,0.04926475,0.32298863,0.13593233,0.08829676,-0.6870014,-0.5213655,0.13902208,-0.3687958,-0.3525238,-0.1922331,0.18430199,0.3506509,0.022691734,0.23235647,0.07626626,0.08021614,0.2609279,-0.1482001,0.11916194,-0.3111793,-0.46263352,-0.06503492,-0.24664831,-0.025626754,-0.034637164,0.32131916,-0.11928902,-0.35470343,0.035737686,-0.16363211,0.08373838,-0.011049536,-0.062048744,0.1357298,0.36882514,-0.23398708
7,28,1,0.32482234,0.42323324,-0.10901869,0.28578866,-0.11333549,-0.13502856,-0.20140658,-0.3271475,0.036023133,-0.11527338,-0.10883372,-0.7120723,-0.20071219,0.17195527,0.25326708,-0.044397093,-0.1646089,0.015376956,-0.19604492,0.038975105,0.20310004,-0.17757687,-0.29172677,-0.07450598,-0.4243614,0.17717302,-0.15939417,0.31428546,0.23998842,-0.23694666,-0.12675655,0.16150357,0.16824096,0.23700401,-0.097043954,0.27788314,0.060055,-0.09975909,-0.25564972,0.026114568,0.21651316,0.19731277,0.048415188,0.09961421,0.019030768,-0.05933631,0.40753245,0.20637497,0.24966176,-0.1960794,-0.31964463,-0.31196967,-0.24828859,-0.0043742284,-0.038232718,0.25144714,0.21524462,-0.088535376,0.22645192,0.3196105,0.14569157,0.21631649,0.12410238,-0.0869869,-0.6659547,-0.5723253,0.22659719,-0.29420558,-0.32172516,-0.05586398,0.1784044,0.043855093,-0.030163866,0.17175438,0.054967586,0.18108657,0.30038095,0.02241622,-0.027328687,-0.2332493,-0.23127435,0.10369512,-0.20564087,0.06395746,-0.14932513,0.3310611,0.09343035,-0.39549083,0.080890186,-0.2107284,0.17710763,0.1284403,-0.11385662,0.19689706,0.2896664,-0.011533837
8,14,1,0.16269879,-0.05426703,0.010054127,-0.20274852,-0.1031918,-0.21472934,0.037798353,-0.026743144,0.08545655,-0.367853,-0.40525156,-0.1219393,-0.43550473,0.02369312,0.13518842,0.31882793,0.27413452,0.058622424,-0.11534674,0.022629395,0.26868513,0.15472773,-0.19584826,-0.07169115,-0.18151914,0.09505882,0.09756428,0.16499215,0.18717049,-0.34651312,0.22296663,-0.16037445,-0.07339578,0.079052545,0.20405704,0.22325745,-0.08364147,-0.18246816,-0.33707812,-0.29838178,0.28382108,-0.072276235,-0.1942594,-0.12874524,-0.09966808,-0.08340501,0.37204146,0.09859191,0.15035652,0.043605704,0.015594334,-0.37569037,0.34524703,-0.011646296,0.17220728,0.061615057,-0.034272,-0.0053157415,0.30789226,-0.03853763,0.3912709,-0.1041873,0.041275386,-0.083179995,-0.445172,-0.35142523,-0.29263568,0.1945286,-0.09715243,-0.4054497,-0.17623919,0.22997516,-0.05930651,0.2067891,0.28896797,0.3828651,-0.15671471,0.033762,-0.094490424,-0.20378217,-0.18577662,-0.027174653,-0.17007938,-0.2417398,0.07201993,0.26715127,0.33991528,0.16288409,-0.05971945,-0.22541833,0.22916849,-0.33425385,0.43661562,0.3621147,0.16660248,0.44360882
9,23,1,0.42323944,0.21393442,0.09519573,-0.21484463,-0.11397471,0.023484582,0.25360096,0.052801047,0.3313019,-0.017378109,-0.19000119,-0.5294688,-0.23777278,0.13940297,0.34812805,0.3545275,-0.016722554,0.070234075,-0.1436319,-0.011970798,0.30102852,-0.0021501002,-0.045928627,-0.1450426,-0.49733776,0.2200002,-0.21112658,0.16703749,0.1377628,-0.40698537,0.004727849,-0.12317049,0.087402105,0.17816678,0.02791816,0.26756212,-0.12829138,-0.10498757,-0.26720077,-0.13684648,0.1457173,0.01597758,-0.08531907,0.08683029,0.15216263,0.14626831,0.49971372,0.28630185,0.18497084,0.109671906,-0.22360422,-0.21754976,0.09857282,0.08763306,-0.103776075,-0.18156098,0.13840215,-0.09712107,0.29325145,0.40427947,0.2223608,0.14534004,0.06335889,-0.11858437,-0.4186829,-0.40797013,-0.11087557,0.019731866,0.16409521,-0.23632295,-0.033700112,0.11166767,-0.11410993,0.14650775,0.080238506,0.012004497,0.2607947,-0.18697943,-0.03229472,-0.06373275,-0.25941923,0.10685364,-0.48108086,0.21520673,0.09662943,0.3268514,-0.0059064683,-0.27352625,-0.19832997,-0.14066683,0.22179113,-0.026562953,0.036819078,0.29366383,0.16685086,0.28358173
